timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
227742537,227742324,-0.043106563,-0.82265097,0.20862253
227759789,227759570,-0.115948476,-0.8834517,0.20164753
227782007,227781744,-0.1432275,-0.8808843,0.19977693
227801678,227801454,-0.20471402,-0.832133,0.20668618
227818914,227818700,-0.34386745,-1.0,0.38127914
227841088,227840873,-0.28992358,-1.0,0.4048251
227860797,227860583,-0.26836058,-1.0,0.40483955
227882971,227882756,-0.2352493,-1.0,0.39178073
227900232,227900003,-0.15262952,-1.0,0.3897783
227919941,227919712,-0.031371057,-0.66959524,0.17571008
227939644,227939422,0.019959517,-0.59194577,0.15891421
227959346,227959132,0.030791685,-0.5799788,0.16491853
227981534,227981305,0.033444233,-0.57916874,0.17344403
228001228,228001015,-0.013536699,-0.5846781,0.17378701
228023402,228023189,-0.038702253,-0.40421298,0.10563137
228040650,228040435,-0.060749415,-0.41817418,0.10253266
228060357,228060144,-0.08037638,-0.39882284,0.10358132
228082531,228082318,-0.09491032,-0.39862946,0.108297974
228099778,228099564,-0.09857533,-0.42768332,0.11492833
228119492,228119274,-0.09922234,-0.5234703,0.12400964
228141663,228141447,-0.10937797,-0.5674719,0.12327549
228163836,228163621,-0.08693728,-0.58706504,0.12553552
228181093,228180867,-0.052506678,-0.5700205,0.12174075
228200790,228200576,-0.014327941,-0.55033207,0.11338782
228222963,228222750,0.018850638,-0.86296797,0.17925917
228240212,228239996,0.025379432,-0.8859115,0.17530207
228259920,228259706,0.020730793,-0.88651645,0.17457955
228282091,228281879,-0.05413379,-0.931304,0.17053358
228301818,228301589,-0.11236126,-0.94744956,0.1632085
228319050,228318835,-0.16901869,-1.0,0.24858728
228341221,228341009,-0.22749384,-1.0,0.2594344
228360931,228360718,-0.22683644,-1.0,0.27876794
228380659,228380428,-0.18828611,-1.0,0.2878595
228400370,228400138,-0.22222926,-1.0,0.27619162
228422523,228422311,-0.14642009,-0.63887036,0.14336981
228442235,228442021,-0.07782667,-0.60483277,0.1462812
228459484,228459267,-0.0055817664,-0.5256765,0.1416547
228481656,228481441,0.022945078,-0.47797006,0.12542161
228501374,228501150,0.018969739,-0.4631039,0.13268957
228518611,228518396,0.028245404,-0.41574353,0.12468183
