timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
238060749,0.0,0.16137163,-0.13887556,-0.03828373,0.9763233,0.65970516,0.0,0.0,0,0
238110000,0.0,0.1708314,-0.13924026,-0.036935266,0.97471255,0.65970516,0.0,0.0,0,0
238159307,0.0,0.18375668,-0.13971835,-0.035083447,0.9723587,0.6621621,0.0,0.0,0,0
238208541,0.0,0.19471927,-0.1401054,-0.03350431,0.97022283,0.6683047,0.0,0.0,0,0
238258088,0.0,0.2057221,-0.14027287,-0.030992642,0.96800905,0.67199016,0.0,0.0,0,0
238312012,0.0,0.2158266,-0.14080259,-0.030441653,0.96574676,0.67321867,0.0,0.0,0,0
238361293,0.0,0.21935514,-0.14091292,-0.029926792,0.96495146,0.67321867,0.0,0.0,0,0
238410563,0.0,0.2256137,-0.14110419,-0.029011544,0.96350735,0.67321867,0.0,0.0,0,0
238459862,0.0,0.23399237,-0.14112063,-0.026869932,0.96156675,0.67321867,0.0,0.0,0,0
238509141,0.0,0.24091631,-0.14107338,-0.024941584,0.9599143,0.6744472,0.0,0.0,0,0
238558394,0.0,0.25756148,-0.12825793,0.02570115,0.95736694,0.6744472,0.0,0.0,0,0
238607662,0.0,0.26899013,-0.12563038,0.035413224,0.9542575,0.6744472,0.0,0.0,0,0
238661970,0.0,0.2741359,-0.123625,0.04240036,0.95276886,0.6744472,0.0,0.0,0,0
238711170,0.0,0.27742615,-0.12478743,0.038324486,0.9518372,0.6744472,0.0,0.0,0,0
238760460,0.0,0.27631494,-0.113113895,-0.019866796,0.9541806,0.6744472,0.0,0.0,0,0
238809724,0.0,0.27727807,-0.10266745,-0.03199123,0.95475274,0.6744472,0.0,0.0,0,0
238858992,0.0,0.27816918,-0.09962007,-0.032853022,0.95478714,0.6744472,0.0,0.0,0,0
238908243,0.0,0.28053173,-0.10044572,-0.028368637,0.9541529,0.6744472,0.0,0.0,0,0
238957507,0.0,0.2781138,-0.10386281,-0.024541697,0.95460093,0.6744472,0.0,0.0,0,0
239011716,0.0,0.2726938,-0.12492879,-0.026554592,0.95358574,0.6744472,0.0,0.0,0,0
239061068,0.0,0.27141124,-0.1340988,-0.02384459,0.9527775,0.6744472,0.0,0.0,0,0
239110303,0.0,0.27283645,-0.13785575,-0.013574348,0.9520356,0.6744472,0.0,0.0,0,0
239159564,0.0,0.27893722,-0.13408494,0.006851525,0.9508776,0.6744472,0.0,0.0,0,0
239208835,0.0,0.28273708,-0.1425846,-0.02053521,0.94831836,0.6744472,0.0,0.0,0,0
239258109,0.0,0.28816992,-0.1427,-0.01971732,0.9466816,0.6744472,0.0,0.0,0,0
239307361,0.0,0.29401234,-0.14281908,-0.018835446,0.9448834,0.67321867,0.0,0.0,0,0
239361557,0.0,0.3059348,-0.14274672,-0.01613682,0.9411519,0.67321867,0.0,0.0,0,0
239410833,0.0,0.31974414,-0.1364434,0.0046220873,0.93761694,0.67321867,0.0,0.0,0,0
239460189,0.0,0.3337053,-0.1200149,0.036835793,0.93428063,0.67321867,0.0,0.0,0,0
239509384,0.0,0.34619963,-0.11806113,0.057007663,0.9289551,0.67321867,0.0,0.0,0,0
239558701,0.0,0.35505414,-0.0883329,0.077311106,0.92744637,0.67321867,0.0,0.0,0,0
239607960,0.0,0.35842258,-0.10817146,0.075168885,0.92421967,0.67321867,0.0,0.0,0,0
239657258,0.0,0.36245334,-0.11124609,0.073935926,0.92238027,0.67321867,0.0,0.0,0,0
239711403,0.0,0.362034,-0.124275506,0.04063011,0.92294973,0.67321867,0.0,0.0,0,0
239760678,0.0,0.3607236,-0.13436775,0.015003546,0.922821,0.67199016,0.0,0.0,0,0
239809956,0.0,0.3640558,-0.13853104,0.005004582,0.9210035,0.67199016,0.0,0.0,0,0
239859286,0.0,0.37208065,-0.12667045,0.03498786,0.9188506,0.67199016,0.0,0.0,0,0
239908501,0.0,0.37437528,-0.12086288,0.049287442,0.9180447,0.67199016,0.0,0.0,0,0
239957785,0.0,0.37536332,-0.120809756,0.049417518,0.9176412,0.67199016,0.0,0.0,0,0
240007051,0.0,0.38243964,-0.09814676,0.104115166,0.9128347,0.67199016,0.0,0.0,0,0
240061279,0.0,0.3860694,-0.08153683,0.14351876,0.9075817,0.67199016,0.0,0.0,0,0
240110534,0.0,0.38840994,-0.0656342,0.18089648,0.9011694,0.67199016,0.0,0.0,0,0
240159821,0.0,0.38457245,-0.066403225,0.1806156,0.90281373,0.67199016,0.0,0.0,0,0
240209074,0.0,0.38108388,-0.068515696,0.17689481,0.90486956,0.67199016,0.0,0.0,0,0
240263278,0.0,0.3799885,-0.07014101,0.17334566,0.905892,0.67199016,0.0,0.0,0,0
240307626,0.0,0.37943056,-0.07200912,0.16896692,0.9068061,0.67199016,0.0,0.0,0,0
