timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
418725904,5.205597,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
419225905,5.2326875,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
419725906,5.2181854,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
420225905,5.2225156,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
420725904,5.232184,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
421225904,5.215567,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
421725904,5.215164,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
422225904,5.243262,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
422725905,5.211539,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
423225904,5.2143583,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
423725904,5.22312,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
424225904,5.204791,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
424725905,5.2439666,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
425225904,5.2163725,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
425725904,5.222818,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
426225908,5.2335935,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
426725905,5.222818,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
427225924,5.2209044,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
427725905,5.2007627,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
428225907,5.233795,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
428725905,5.211136,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
429225905,5.217682,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
429725906,5.257663,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0
