timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,motor_stop_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
521074538,0.02312249,0.04624492,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
521273990,0.020447314,0.040894687,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
521473501,0.018130243,0.036260545,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
521673015,0.024232805,0.04846555,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
521872531,0.028119445,0.05623889,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
522074508,0.022363603,0.044727266,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
522274038,0.024031997,0.048063993,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
522473538,0.022878528,0.045757055,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
522673053,0.01455158,0.02910322,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
522872567,0.0123851895,0.02477032,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
523073758,0.012638867,0.025277793,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
523271600,0.010197997,0.020395994,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
523471132,0.014473677,0.028947353,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
523670629,0.016329229,0.032658517,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
523877537,0.017710507,0.035421014,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
524077047,0.019929588,0.039859176,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
524279029,0.021854103,0.043708146,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
524478544,0.021714747,0.043429494,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
524678062,0.029715836,0.059431612,0.0,9.313226e-10,0.0,0.0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
524877596,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
525077080,4.4703484e-08,-1.1175871e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
525279070,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
525478570,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
525678085,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
525877623,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
526077116,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
526274187,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
526473711,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
526678141,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
526877641,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
527077156,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
527279132,4.4703484e-08,1.071021e-08,0.0,9.313226e-10,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
