timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
396777951,396777720,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396878941,396878709,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
396977467,396977235,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397078457,397078225,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397179465,397179214,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397277988,397277740,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397378966,397378730,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397477492,397477256,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397578482,397578245,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397677006,397676771,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397777998,397777760,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397878984,397878749,0.6127098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
397977524,397977275,0.6163069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398078499,398078264,0.618705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398177026,398176790,0.618705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398278018,398277780,0.618705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398376545,398376305,0.618705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398477546,398477294,0.618705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398578515,398578283,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398677043,398676809,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398778033,398777798,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398876559,398876324,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
398977545,398977313,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399076072,399075839,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399177059,399176828,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399280516,399280281,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399376574,399376343,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399480047,399479795,0.61990404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399576093,399575858,0.6223021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399679613,399679310,0.6235012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399775604,399775373,0.6235012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399879061,399878828,0.6235012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
399980046,399979813,0.6235012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400078571,400078339,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400179594,400179328,0.6235012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400278084,400277853,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400379074,400378842,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400477606,400477368,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400578592,400578357,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400677115,400676882,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400778100,400777870,0.6235012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400879092,400878859,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
400977618,400977386,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401078604,401078373,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401177131,401176898,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401278118,401277886,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401379213,401378875,0.6247002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401477631,401477400,0.62589926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401578660,401578388,0.62709826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401677150,401676913,0.62709826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401778185,401777902,0.62709826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
401876682,401876427,0.62709826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
