timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
173922339,173922242,4259850,4325386,-0.0016167612,0.0033681155,0.0016730813,-0.005890547,-0.0044985088,-0.037566,4988,4898,0,0,2,1
174426097,174426000,4259850,4325386,-0.0038877795,0.0075925025,-8.504691e-05,0.020581739,0.010376272,-0.031927772,4987,4899,0,0,2,1
174924869,174924771,4259850,4325386,-0.0013950352,0.006304369,0.0017828946,0.0076299096,-0.00092724024,-0.015500521,4988,4898,0,0,2,1
175423660,175423541,4259850,4325386,-0.0021441765,0.0004920959,0.0023826547,0.0151063055,-0.0055814805,-0.016997796,4988,4897,0,0,2,1
175927397,175927299,4259850,4325386,-0.0012373589,0.002814115,0.0018801361,0.017312085,0.0070533846,-0.02169573,4988,4899,0,0,2,1
176426164,176426069,4259850,4325386,-0.0029311616,0.0028506618,0.003545414,0.029834062,-0.003445977,-0.062315717,4988,4898,0,0,2,1
176924943,176924839,4259850,4325386,-0.003492812,0.0017869566,0.002989898,0.047973987,-7.5299164e-07,-0.05473709,4988,4898,0,0,2,1
177423706,177423608,4259850,4325386,-0.0042525716,0.0002700479,0.0023448137,0.047989532,0.008241465,-0.059020743,4988,4898,0,0,2,1
177922663,177922377,4259850,4325386,-0.001031743,0.0019229172,0.0028280152,0.065569796,0.000515905,-0.07575504,4988,4897,0,0,2,1
178426231,178426134,4259850,4325386,-0.0013724907,0.0018722427,0.0017734882,0.056135405,0.0067844247,-0.08091255,4987,4898,0,0,2,1
178925012,178924903,4259850,4325386,0.0008578455,5.642291e-05,0.0015138795,0.07037944,0.010095573,-0.060035504,4988,4899,0,0,2,1
179428755,179428658,4259850,4325386,-0.000835147,-0.0019117239,0.0016102996,0.04982264,-0.00050998956,-0.0795353,4987,4898,0,0,2,1
179927523,179927426,4259850,4325386,0.0005957331,0.0011733059,0.0005438227,0.066336475,-0.00068667706,-0.067257814,4987,4899,0,0,2,1
180426291,180426194,4259850,4325386,0.0017237898,0.0015712075,0.0017199147,0.055632204,0.0030286934,-0.06294277,4988,4898,0,0,2,1
180925062,180924961,4259850,4325386,0.0014642022,-0.002798757,0.0019840577,0.06689292,0.0055659977,-0.09499422,4987,4897,0,0,2,1
181423836,181423729,4259850,4325386,0.0031513975,0.0008926056,0.00047666987,0.10514431,-0.005674867,-0.12962182,4988,7347,0,0,2,1
181927580,181927484,4259850,4325386,0.0011544651,-0.00046911836,0.0010826276,0.057683043,0.0007465342,-0.07887428,4988,4899,0,0,2,1
182426346,182426251,4259850,4325386,0.0016159886,-0.001461282,0.0018690784,0.06894848,0.008206641,-0.09521396,4988,4899,0,0,2,1
182925115,182925018,4259850,4325386,0.0020856906,-0.00016331008,0.0011105582,0.08003591,-0.003991012,-0.09509955,4988,4898,0,0,2,1
183428867,183428771,4259850,4325386,0.0013611184,-0.0013079478,0.0021475826,0.08344025,-0.011068179,-0.079720415,4987,4899,0,0,2,1
183927639,183927538,4259850,4325386,0.0017501913,-0.003464129,0.0026030927,0.085043415,-0.003189561,-0.11153195,4988,4899,0,0,2,1
184426579,184426304,4259850,4325386,0.0019470246,-0.0014911656,0.002715632,0.08146672,-0.025485713,-0.10738092,4988,4898,0,0,2,1
184925180,184925069,4259850,4325386,0.0034918755,-0.0020296106,0.0033441533,0.054489043,-0.017688772,-0.125784,4987,4899,0,0,2,1
185423963,185423837,4259850,4325386,0.0077918232,-7.091119e-05,0.00056968094,0.02614287,-0.0056538368,-0.082069896,4990,4897,0,0,2,1
185927698,185927588,4259850,4325386,0.004455409,0.0025381015,0.0012340085,0.0024578932,-0.012779767,-0.060377527,4985,4898,0,0,2,1
186426456,186426353,4259850,4325386,0.005724797,0.0014652337,-0.0016775501,0.007008333,0.0055851694,-0.050507456,4987,4899,0,0,2,1
186925213,186925118,4259850,4325386,-0.004153233,0.0030673663,0.0012786168,0.0053125937,0.008678954,-0.025778487,4987,4898,0,0,2,1
187428966,187428871,4259850,4325386,-0.00072754105,0.0018469656,0.000856497,0.006097879,-0.009945945,0.00865553,4988,4898,0,0,2,1
187922754,187922647,4259850,4325386,-0.0033890356,0.002305301,0.0016984513,0.010597803,0.00819929,0.0010370873,4987,4896,0,0,2,1
188426498,188426400,4259850,4325386,-0.0032435954,0.0015768151,0.0027733475,0.0071315584,0.004884286,0.02604641,4988,4899,0,0,2,1
188925259,188925164,4259850,4325386,-0.0036842679,0.0018367643,0.0031335459,0.038985953,-0.022643412,-0.002493139,4988,4900,0,0,2,1
189424026,189423928,4259850,4325386,-0.010099904,0.00084109855,0.0023706676,0.020727979,0.019239979,0.01834019,4988,4898,0,0,2,1
189927775,189927679,4259850,4325386,-0.010331057,-0.0017080205,0.0025665765,0.010560151,0.018910192,0.013618685,4987,4899,0,0,2,1
190426554,190426443,4259850,4325386,-0.011013658,0.00024661946,0.0018504967,0.017930705,0.021263435,-0.008254101,4988,4898,0,0,2,1
190925312,190925207,4259850,4325386,-0.0050577675,-0.0001379968,0.0036210814,0.01944804,0.022482608,0.04122898,4988,4898,0,0,2,1
191424066,191423970,4259850,4325386,-0.0057918862,0.0009752044,0.0026962878,0.033949222,0.013836893,0.045600247,4987,4901,0,0,2,1
191922921,191922733,4259850,4325386,-0.0040532495,0.0013557347,0.0023577416,0.035186265,0.009201324,0.040511116,4987,4898,0,0,2,1
192426592,192426484,4259850,4325386,0.00048375287,0.00027805194,0.0026850027,0.011315894,0.00051071425,0.007851242,4987,4898,0,0,2,1
192925356,192925247,4259850,4325386,-0.0009820557,-0.00014310026,0.0019188925,0.009676258,0.0159475,-0.006436295,4987,4899,0,0,2,1
193424112,193424010,4259850,4325386,-0.004109731,0.00088745967,-0.0004578466,0.0081408005,0.013210697,-0.03514707,4987,4898,0,0,2,1
193927878,193927761,4259850,4325386,-0.002840606,0.0013705725,0.0009925179,0.0027342672,0.004686584,-0.034817457,4988,4898,0,0,2,1
194426623,194426523,4259850,4325386,-0.004119279,0.0027864685,0.0012767217,0.019215962,0.004084774,-0.03623894,4987,4898,0,0,2,1
194925381,194925286,4259850,4325386,-0.004624325,0.0009114587,0.00071723503,0.027368983,-0.0016103821,-0.009502022,4988,4898,0,0,2,1
195424147,195424048,4259850,4325386,-0.007297669,0.002207456,0.0010862752,0.022935767,0.008207825,-0.031776976,4987,4898,0,0,2,1
195927897,195927798,4259850,4325386,-0.0022546318,0.0005105022,8.39478e-05,0.012914236,-0.028853605,-0.051549662,4988,4897,0,0,2,1
196426661,196426560,4259850,4325386,0.0010182878,0.00090342085,0.0015473645,0.005663448,0.005636052,-0.0625816,4988,4897,0,0,2,1
196925420,196925322,4259850,4325386,0.0038862724,0.00027120093,-0.0005372799,-0.00466459,0.015825113,-0.041887935,4987,4898,0,0,2,1
197429174,197429072,4259850,4325386,0.0019790053,0.0008650856,-0.000612467,-0.006138105,-0.00709373,-0.04949237,4988,4897,0,0,2,1
197927933,197927834,4259850,4325386,0.0047601997,0.0025833973,-0.0010819025,0.008902032,0.021151377,-0.06560359,4988,4900,0,0,2,1
198426787,198426595,4259850,4325386,0.010519212,0.005671722,-0.0048030396,-0.009459134,-0.0025233994,-0.046992213,4988,4897,0,0,2,1
198925454,198925357,4259850,4325386,0.009391932,0.0037596808,-0.0047446834,-0.010944333,-0.022922432,-0.052825663,4988,4897,0,0,2,1
199424214,199424118,4259850,4325386,0.009985062,0.0035782948,-0.0044291774,0.0005055213,0.0075948895,-0.05480053,4987,4898,0,0,2,1
199927966,199927867,4259850,4325386,0.009191281,0.00422058,-0.0038608538,0.0055046957,-0.0021306023,-0.09160087,4988,4898,0,0,2,1
200426730,200426629,4259850,4325386,0.0086600585,0.004894752,-0.00298566,-7.263133e-05,-0.016359823,-0.07973305,4987,4899,0,0,2,1
200925501,200925390,4259850,4325386,0.008558607,0.0034563115,-0.0033270388,-0.0051163635,0.018925011,-0.048627548,4988,4898,0,0,2,1
201429239,201429138,4259850,4325386,0.013804043,0.005813973,-0.0071596536,-0.004754132,-0.022042796,-0.086663194,4987,4899,0,0,2,1
201923008,201922911,4259850,4325386,0.01160305,0.0013050291,-0.0013584448,0.0009542763,-0.006561717,-0.090207644,4986,4898,0,0,2,1
202426757,202426660,4259850,4325386,0.01574959,0.0005078086,-0.0031046178,0.01423381,-0.006192009,-0.09521625,4988,4899,0,0,2,1
202925522,202925420,4259850,4325386,0.015750894,0.0005057533,-0.0018079921,0.011502567,0.0052659777,-0.12769918,4987,4899,0,0,2,1
203424280,203424183,4259850,4325386,0.009991732,0.0011301159,-0.002021148,0.034600873,-0.0008451109,-0.11426911,4990,4898,0,0,2,1
203928035,203927928,4259850,4325386,0.001546774,-0.0025049916,1.7452408e-06,0.07545034,-0.003299812,-0.1104742,4987,4898,0,0,2,1
204426786,204426689,4259850,4325386,0.0029346852,0.0021449924,-0.0021127593,0.07185635,0.005766957,-0.099101745,4988,4898,0,0,2,1
204925690,204925449,4259850,4325386,-8.861245e-05,0.0009579233,-0.002221464,0.05351653,0.0025866732,-0.07590314,4985,4899,0,0,2,1
205424320,205424208,4259850,4325386,-0.0013330098,0.0038382683,0.0012290882,0.033485997,-0.0051027727,-0.043749522,4987,4897,0,0,2,1
205923105,205922968,4259850,4325386,-0.00092912465,0.0031088132,0.0022450672,0.005739347,-0.0021321941,-0.043160237,4988,4899,0,0,2,1
206426811,206426716,4259850,4325386,-0.0032603089,0.0028105434,0.0018386281,0.007184018,0.0056935186,-0.0013198343,4988,4899,0,0,2,1
206925573,206925475,4259850,4325386,-0.008029439,-0.00024821176,0.0010911692,0.0002842115,-0.014941767,0.03751983,4988,4898,0,0,2,1
207424328,207424234,4259850,4325386,-0.0015508409,0.0030052233,0.002880461,0.023194754,-0.0076797516,0.003731814,4988,4898,0,0,2,1
207928078,207927981,4259850,4325386,-0.001621013,-0.0017000417,0.0023062697,0.0079315975,0.018351022,-0.013467685,4988,4898,0,0,2,1
