timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
93031853,0.78246915,0.0,1.0,1.0,66.78993,38.676697,7.1420283,-0.09572874,0.011823226,5.0,10.0,0.87964594,7.0,1.0,1
93131658,0.64088655,0.0,1.0,1.0,66.2558,38.689594,7.1407495,-0.10422692,0.0065861326,5.0,10.0,0.87964594,7.0,1.0,1
93231503,0.58678716,0.0,1.0,1.0,65.723335,35.94097,7.1410503,-0.11133364,0.0036255054,5.0,10.0,0.87964594,7.0,1.0,1
93331310,0.43707567,0.0,1.0,1.0,65.21123,36.19174,7.141013,-0.11709278,-0.0005481159,5.0,10.0,0.87964594,7.0,1.0,1
93431031,0.3991035,0.0,1.0,1.0,64.70081,37.00549,7.1421647,-0.12222757,-0.0032973383,5.0,10.0,0.87964594,7.0,1.0,1
93531043,0.3291319,0.0,1.0,1.0,64.19896,34.726143,7.142383,-0.12682779,-0.0071430933,5.0,10.0,0.87964594,7.0,1.0,1
93630628,0.26846394,0.0,1.0,1.0,63.70278,34.77559,7.141032,-0.13083713,-0.008872662,5.0,10.0,0.87964594,7.0,1.0,1
93730456,0.2570084,0.0,1.0,1.0,63.216953,33.356804,7.1422462,-0.1342791,-0.010335736,5.0,10.0,0.87964594,7.0,1.0,1
93830209,0.177887,0.0,1.0,1.0,62.76045,31.626167,7.1423473,-0.13742699,-0.012656268,5.0,10.0,0.87964594,7.0,1.0,1
93930039,0.15744328,0.0,1.0,1.0,62.3096,31.582985,7.1423473,-0.14015293,-0.013459945,5.0,10.0,0.87964594,7.0,1.0,1
94009860,0.15164043,0.0,1.0,1.0,61.94631,29.397264,7.1428223,-0.14206353,-0.014476815,5.0,10.0,0.87964594,7.0,1.0,1
94129611,0.043877818,0.0,1.0,1.0,61.445423,29.439089,7.142739,-0.14467219,-0.014942207,5.0,10.0,0.87964594,7.0,1.0,1
94229657,0.017919669,0.0,1.0,1.0,61.007717,30.51987,7.142593,-0.14612293,-0.013323899,5.0,10.0,0.87964594,7.0,1.0,1
94329279,-0.040119294,0.0,1.0,1.0,60.57819,29.207487,7.1428404,-0.14758876,-0.0143909715,5.0,10.0,0.87964594,7.0,1.0,1
94429293,-0.12990925,0.008715729,1.0,1.0,60.14679,30.106016,7.1427307,-0.14868705,-0.011972609,5.0,10.0,0.87964594,7.0,1.0,1
94528971,-0.13054214,0.0062628,1.0,1.0,59.694107,29.73397,7.1426024,-0.148945,-0.009886943,5.0,10.0,0.87964594,7.0,1.0,1
94628613,-0.30012357,0.060450062,1.0,1.0,59.25855,30.519196,7.142603,-0.14894582,-0.009827748,5.0,10.0,0.87964594,7.0,1.0,1
94728400,-0.35343844,0.08008109,1.0,1.0,58.81758,31.379017,7.1426024,-0.14863513,-0.0062026037,5.0,10.0,0.87964594,7.0,1.0,1
94828445,-0.27860147,0.050405648,1.0,1.0,58.36825,30.434912,7.1428947,-0.14781533,-0.0048031732,5.0,10.0,0.87964594,7.0,1.0,1
94928147,-0.3097475,0.06791837,1.0,1.0,57.9039,31.906395,7.142895,-0.14688624,-0.0041903444,5.0,10.0,0.87964594,7.0,1.0,1
95027821,-0.2816458,0.053558152,1.0,1.0,57.430286,31.161678,7.142867,-0.14550437,-0.001600573,5.0,10.0,0.87964594,7.0,1.0,1
95127565,-0.3125384,0.071343556,1.0,1.0,56.97404,32.723854,7.142766,-0.14444534,-0.0006182277,5.0,10.0,0.87964594,7.0,1.0,1
95217367,-0.37405095,0.09591619,1.0,1.0,56.53518,33.970413,7.1427484,-0.14311823,0.0024630122,5.0,10.0,0.87964594,7.0,1.0,1
