timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
87622603,2.2351742e-08,2.3841858e-07,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
87819764,4.4703484e-08,1.1920929e-07,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88019288,4.4703484e-08,1.1920929e-07,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88221387,8.940697e-08,1.1920929e-07,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
88420964,-0.24999994,-0.5000001,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2,2
88620557,-0.105798006,-0.21159607,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
88820154,-0.0029369593,-0.0058739185,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2,2
89019736,-0.24999994,-0.5000001,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
89216830,-0.090140104,-0.18028027,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
89421414,-0.15286994,-0.30573994,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
89621014,-0.033186138,-0.066372335,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
89818096,1.1920929e-07,2.3841858e-07,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90020178,5.9604645e-08,1.1920929e-07,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90219769,-0.098065495,-0.19613117,0.0,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
90419360,5.9604645e-08,2.3841858e-07,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90621445,-2.2351742e-08,1.7881393e-07,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
90821035,-1.4901161e-07,2.3841858e-07,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91015636,0.1989842,-0.3979687,0.0,5.9604645e-08,0.0,0.0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91217718,-8.940697e-08,-2.9802322e-08,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91417305,-8.940697e-08,-8.940697e-08,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91614402,-8.940697e-08,-4.4703484e-08,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
91823972,-4.4703484e-08,-1.1175871e-08,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92021065,-2.2351742e-08,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
92220659,-4.4703484e-08,-1.1175871e-08,0.0,5.9604645e-08,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
