timestamp,course_setpoint,lateral_acceleration_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,adapted_period,wind_est_valid
79741303,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79841107,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
79940862,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80040587,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80140384,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80240104,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80339910,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80439624,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80539394,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80639194,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80738892,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80838659,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
80938410,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81038251,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81137932,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81237683,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81337476,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81437237,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81537001,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81636737,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81726635,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81826328,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
81926104,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82025791,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82125655,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82225290,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82325145,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82424853,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82524641,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82624353,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82744033,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82823872,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
82943547,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83023364,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83143063,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83222956,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83342656,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83442338,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83542113,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83641911,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83741660,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83841406,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
83941206,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84040906,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84140795,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84240408,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84340240,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84439995,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84539709,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84639439,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84739197,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84838999,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
84938736,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85038508,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85138237,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85238002,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85337785,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85437542,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85537265,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85637071,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85736782,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85826622,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
85926397,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86026103,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86125888,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86225649,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86325359,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86425119,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86524878,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
86624675,0.0,0.0,1.0,1.0,0.0,212.13,10.0,0
