timestamp,io_errors,frames_tx,frames_rx,interface
108911440,3751,3673,0,0
109013440,3767,3673,0,0
109115440,3767,3675,0,0
109217441,3769,3675,0,0
109319456,3769,3675,0,0
109421460,3769,3675,0,0
109523440,3769,3675,0,0
109625475,3769,3677,0,0
109727440,3771,3677,0,0
109829442,3771,3677,0,0
109931440,3772,3694,0,0
110033440,3788,3694,0,0
110135440,3788,3696,0,0
110237440,3790,3696,0,0
110339483,3790,3696,0,0
110441440,3790,3696,0,0
110543829,3790,3698,0,0
110645440,3792,3698,0,0
110747440,3792,3698,0,0
110849442,3793,3701,0,0
110951440,3796,3718,0,0
111053440,3812,3718,0,0
111155440,3812,3718,0,0
111258060,3812,3718,0,0
111359442,3812,3720,0,0
111461439,3814,3720,0,0
111563440,3814,3720,0,0
111665480,3814,3720,0,0
111767513,3814,3720,0,0
111869489,3815,3722,0,0
111971440,3822,3739,0,0
112073439,3838,3739,0,0
112175612,3838,3739,0,0
112277760,3838,3739,0,0
112379485,3838,3741,0,0
112481440,3840,3741,0,0
112583443,3840,3741,0,0
112688351,3840,3744,0,0
112790461,3843,3747,0,0
112892441,3847,3763,0,0
112994441,3863,3766,0,0
113096440,3865,3769,0,0
113198682,3868,3770,0,0
113300443,3869,3772,0,0
113402522,3871,3775,0,0
113504448,3874,3776,0,0
113606440,3875,3776,0,0
