timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
233684828,0,0,0,1,0,0,0,0,0,0,0,1
234692372,0,0,0,1,0,0,0,0,0,0,0,1
235700010,0,0,0,1,0,0,0,0,0,0,0,1
236707646,0,0,0,1,0,0,0,0,0,0,0,1
237715245,0,0,0,1,0,0,0,0,0,0,0,1
238722780,0,0,0,1,0,0,0,0,0,0,0,1
239730342,0,0,0,1,0,0,0,0,0,0,0,1
240738186,0,0,0,1,0,0,0,0,0,0,0,1
241745751,0,0,0,1,0,0,0,0,0,0,0,1
242753224,0,0,0,1,0,0,0,0,0,0,0,1
243760864,0,0,0,1,0,0,0,0,0,0,0,1
243810670,0,0,0,1,0,0,0,0,0,0,0,0
244618783,0,0,0,0,0,0,0,0,0,0,0,0
245626373,0,0,0,0,0,0,0,0,0,0,0,0
246633996,0,0,0,0,0,0,0,0,0,0,0,0
247641611,0,0,0,0,0,0,0,0,0,0,0,0
248649163,0,0,0,0,0,0,0,0,0,0,0,0
249656777,0,0,0,0,0,0,0,0,0,0,0,0
250514681,0,0,0,1,0,0,0,0,0,0,0,0
251522300,0,0,0,1,0,0,0,0,0,0,0,0
252529894,0,0,0,1,0,0,0,0,0,0,0,0
253537508,0,0,0,1,0,0,0,0,0,0,0,0
254545384,0,0,0,1,0,0,0,0,0,0,0,0
255552777,0,0,0,1,0,0,0,0,0,0,0,0
256560380,0,0,0,1,0,0,0,0,0,0,0,0
257568065,0,0,0,1,0,0,0,0,0,0,0,0
258575532,0,0,0,1,0,0,0,0,0,0,0,0
259583189,0,0,0,1,0,0,0,0,0,0,0,0
260590799,0,0,0,1,0,0,0,0,0,0,0,0
261598353,0,0,0,1,0,0,0,0,0,0,0,0
261728104,0,0,0,0,0,0,0,0,0,0,0,0
262735715,0,0,0,0,0,0,0,0,0,0,0,0
263743513,0,0,0,0,0,0,0,0,0,0,0,0
264750905,0,0,0,0,0,0,0,0,0,0,0,0
265758503,0,0,0,0,0,0,0,0,0,0,0,0
266766096,0,0,0,0,0,0,0,0,0,0,0,0
267773694,0,0,0,0,0,0,0,0,0,0,0,0
268781367,0,0,0,0,0,0,0,0,0,0,0,0
269788896,0,0,0,0,0,0,0,0,0,0,0,0
270796544,0,0,0,0,0,0,0,0,0,0,0,0
271804133,0,0,0,0,0,0,0,0,0,0,0,0
272811733,0,0,0,0,0,0,0,0,0,0,0,0
273819360,0,0,0,0,0,0,0,0,0,0,0,0
274827011,0,0,0,0,0,0,0,0,0,0,0,0
275834607,0,0,0,0,0,0,0,0,0,0,0,0
276842183,0,0,0,0,0,0,0,0,0,0,0,0
277849743,0,0,0,0,0,0,0,0,0,0,0,0
