timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
229408031,0,-0.78048205,0.0041518994,0.1895384,0.17648953,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
230408029,0,-0.78048205,0.0041518994,0.20053852,0.18748964,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
231408030,0,-0.78048205,0.0041518994,0.21153809,0.19848922,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
232408029,0,-0.78048205,0.0041518994,0.22153825,0.20848937,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
233408029,0,-0.78048205,0.0041518994,0.23153874,0.21848987,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
234408029,0,-0.78048205,0.0041518994,0.24253811,0.22948924,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
235408029,0,-0.78048205,0.0041518994,0.25253877,0.2394899,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
236408029,0,-0.78048205,0.0041518994,0.2635381,0.25048923,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
237408070,0,-0.78048205,0.0041518994,0.2735385,0.26048964,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
238408029,0,-0.78048205,0.0041518994,0.2735385,0.26048964,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
239408031,0,-0.78048205,0.0041518994,0.28453833,0.27148947,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
240408030,0,-0.78048205,0.0041518994,0.29453877,0.2814899,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
241408029,0,-0.78048205,0.0041518994,0.3055381,0.29248923,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
242408029,0,-0.78048205,0.0041518994,0.31553844,0.30248958,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
243408029,0,-0.78048205,0.0041518994,0.3265381,0.31348923,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
244408030,0,-0.78048205,0.0041518994,0.33653837,0.32348952,nan,nan,nan,nan,nan,0.21059966,0.06131975,0
245408029,0,-0.6356826,0.023002885,0.09940948,0.0129628815,nan,nan,nan,nan,nan,0.040430978,0.06174932,0
246408029,0,-0.5701728,-0.0035799548,0.021276895,0.019361584,nan,nan,nan,nan,nan,0.23054403,0.027325325,0
247408029,0,-0.5701728,-0.0035799548,0.032276575,0.030361265,nan,nan,nan,nan,nan,0.5239032,0.18136027,0
248408029,0,-0.5444606,0.0024728165,0.0060897428,0.001147937,nan,nan,nan,nan,nan,0.36257088,0.042623818,0
249408029,0,-0.44852778,-0.027779195,0.006594493,0.011103925,nan,nan,nan,nan,nan,0.3232883,0.1191854,0
250408029,0,-0.44852778,-0.027779195,0.016595025,0.021104457,nan,nan,nan,nan,nan,-0.5594525,0.09155549,0
251408030,0,-0.44852778,-0.027779195,0.027594496,0.032103926,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
252408031,0,-0.44852778,-0.027779195,0.037594985,0.042104416,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
253408031,0,-0.44852778,-0.027779195,0.048594486,0.053103916,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
254408030,0,-0.44852778,-0.027779195,0.058595236,0.06310467,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
255408029,0,-0.44852778,-0.027779195,0.06959465,0.07410408,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
256408029,0,-0.44852778,-0.027779195,0.07959516,0.08410459,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
257408038,0,-0.44852778,-0.027779195,0.0905946,0.095104024,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
258408061,0,-0.44852778,-0.027779195,0.100594826,0.10510425,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
259408029,0,-0.44852778,-0.027779195,0.100594826,0.10510425,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
260408030,0,-0.44852778,-0.027779195,0.1115947,0.116104126,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
261408029,0,-0.44852778,-0.027779195,0.121594846,0.12610428,nan,nan,nan,nan,nan,-0.62139505,0.09932,0
262408029,0,-0.37595782,-0.30599672,0.117469355,0.024410095,nan,nan,nan,nan,nan,-0.19235642,0.035259873,0
263408029,0,-0.37595782,-0.30599672,0.12846881,0.035409547,nan,nan,nan,nan,nan,-0.77011025,0.03139509,0
264408031,0,-0.37595782,-0.30599672,0.13846885,0.04540959,nan,nan,nan,nan,nan,-1.5067916,0.5221415,0
265408029,0,-0.37595782,-0.30599672,0.14946882,0.05640956,nan,nan,nan,nan,nan,-1.6587063,0.40628418,0
266408029,0,-0.37595782,-0.30599672,0.15946889,0.06640963,nan,nan,nan,nan,nan,-1.3308496,0.21507065,0
267408029,0,-0.37595782,-0.30599672,0.1704688,0.07740954,nan,nan,nan,nan,nan,-1.0208898,0.3165953,0
268408030,0,-0.37595782,-0.30599672,0.18046904,0.08740977,nan,nan,nan,nan,nan,-0.71619177,0.08178757,0
269408029,0,-0.63502955,-0.32778415,0.047567785,0.097391866,nan,nan,nan,nan,nan,-0.2179813,0.101873785,0
270408029,0,-0.73318714,-0.5951151,0.021024479,0.011716489,nan,nan,nan,nan,nan,-0.8361549,0.52052075,0
271408029,0,-0.5530222,-0.68357056,0.0075116204,0.010842169,nan,nan,nan,nan,nan,0.18976143,0.031905957,0
272408033,0,-0.5176997,-0.68760324,0.015727224,0.018337844,nan,nan,nan,nan,nan,-0.3559171,0.036255743,0
273408029,0,-0.5516472,-0.7603097,0.020435257,0.023377497,nan,nan,nan,nan,nan,-0.029906288,0.026262034,0
274408031,0,-0.613118,-0.80107343,0.026808675,0.031497452,nan,nan,nan,nan,nan,0.035736177,0.024131313,0
275408030,0,-0.6564481,-0.8456151,0.036008723,0.040538874,nan,nan,nan,nan,nan,-0.34633937,0.026208071,0
276408046,0,-0.73040193,-1.0018436,0.044398703,0.043431465,nan,nan,nan,nan,nan,-0.11801776,0.024159284,0
277408029,0,-0.8135061,-1.0614811,0.050825454,0.049002632,nan,nan,nan,nan,nan,-0.18998878,0.02351329,0
