timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
30900655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31406756,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31912655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
32418655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
32924656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
33430785,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
33936656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
34442656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
34948697,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
35455376,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
35960656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
36466654,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
36972663,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
37478655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
37984655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
38490656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
38997368,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
39502804,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
40009658,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
40515661,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
41022169,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
41527656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
42033686,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
42539672,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
43045678,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
43551655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
44057720,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
44564655,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
45070656,21101746,0,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
45576669,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
46082671,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
46589241,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
47094658,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
47600665,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
48106712,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
48612655,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
49118788,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
49624655,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
50131149,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
50636781,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
51142656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
51648782,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
52154656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
52660866,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
53166658,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
53672671,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
54178813,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
54684669,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
55190658,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
55696656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
56202656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
56708767,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
57214656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
57720656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
58227113,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
58732655,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
59238785,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
59744675,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
60250656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
60756671,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
61262656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
61768807,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
62274709,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
62780669,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
63286694,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
63792671,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
64298785,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
64804661,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
65310656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
65816656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
66323080,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
66828816,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
67334655,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
67840656,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
68347637,21101746,45081767,22297626,2147411071,8307839,0,2,2,0,15,15,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
