timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
19501146,4259850,4325386,0,0,0,0,0,0,0,0,407.76062,401.00952,2038.8031,2005.0477,0.24372946,0.031047152,5.0458535e-09,-7.360338,-3.4354033,5.6189938,0.08347291,-0.2274358,-0.60092604,0.020584386,0.03888823,0.06112468,0.0005592472,0.0033978624,0.0021181414,10.0,nan
20548511,4259850,4325386,0,0,0,0,0,0,0,0,407.7603,401.00934,2038.8015,2005.0466,0.1880691,0.022214103,5.0444857e-09,-9.235073,-2.3662744,4.685421,0.08086858,-0.3530435,0.3998478,0.07167845,0.23314373,0.8911541,0.0021237903,0.013543775,0.0010318911,10.0,nan
21491133,4259850,4325386,0,0,0,0,0,0,0,0,407.76007,401.00916,2038.8004,2005.0458,0.18791081,0.019726943,1.2270551e-08,-9.158442,-2.4172075,-0.86431086,0.250113,1.1641165,0.3936778,0.5639049,0.15674663,0.7086378,0.0017240726,0.0056171687,0.00038099222,10.0,nan
22538507,4259850,4325386,0,0,0,0,0,0,0,0,407.7599,401.00894,2038.7994,2005.0448,0.124075286,0.0169189,2.8625822e-09,-7.4694743,-2.0540884,-6.252767,0.36452472,0.36726785,0.27872428,0.043355584,0.007398376,0.0320106,0.0002624772,0.00042412992,0.0004121105,10.0,nan
23585879,4259850,4325386,0,0,0,0,0,0,0,0,407.7504,401.00876,2038.752,2005.0438,0.13853696,0.017478505,2.4100346e-09,-6.245532,-3.9339693,-6.897691,0.17619625,-0.17902912,0.19357978,0.044403095,0.050037872,0.09562596,0.0011946491,0.006464459,0.00027914983,10.0,nan
24528506,4259850,4325386,0,0,0,0,0,0,0,0,407.75787,401.0086,2038.7894,2005.043,0.13097303,0.014401857,2.5532112e-09,-3.503858,-1.8344334,-9.64177,-0.07005147,0.36911365,0.09852303,0.05966175,0.04097401,0.041586075,0.00018456233,0.0020813118,0.0018973455,10.0,nan
25575870,4259850,4325386,0,0,0,0,0,0,0,0,407.7585,401.0084,2038.7927,2005.042,0.2583943,0.029737858,3.9929104e-09,-5.1633987,-1.74781,-9.866359,-0.09649623,0.5551616,0.1723391,0.7369705,0.03174745,0.48970896,0.000830559,0.001220859,0.0005342522,10.0,nan
26518507,4259850,4325386,0,0,0,0,0,0,0,0,407.75995,401.00824,2038.7997,2005.0411,0.122713506,0.016368965,5.2272964e-10,-1.1804818,-0.5905466,-9.475087,-0.00091499847,0.03518879,-0.10337122,0.07060067,0.011724392,0.012103896,3.701843e-05,9.630696e-05,0.0013682253,10.0,nan
27565881,4259850,4325386,0,0,0,0,0,0,0,0,407.76193,401.00806,2038.8097,2005.0403,0.08910676,0.012621719,1.3492246e-09,1.7364601,1.021663,-9.925618,-0.098662,0.2555906,0.049919568,0.024451282,0.01251859,0.0031113874,0.00050948566,0.00014902953,0.0002909954,10.0,nan
28508532,4259850,4325386,0,0,0,0,0,0,0,0,407.76178,401.00787,2038.8088,2005.0394,0.14724155,0.019483544,7.629526e-10,1.6063771,0.13097776,-10.71483,0.1018282,-0.011781216,0.014985478,0.12685296,0.041628037,0.016886821,0.0026855685,0.0011024976,0.0004143333,10.0,nan
29555912,4259850,4325386,0,0,0,0,0,0,0,0,407.7635,401.0077,2038.8173,2005.0386,0.18634489,0.025213607,4.8205733e-09,1.2481849,-0.92221975,-10.781948,-0.032243233,0.027484287,0.2974642,0.07144171,0.010507731,0.035539314,0.01996563,0.004352025,0.010598439,10.0,nan
30498537,4259850,4325386,0,0,0,0,0,0,0,0,407.7634,401.00754,2038.8169,2005.0377,0.37446225,0.021027735,1.28331e-09,1.6474069,0.30460393,-10.153502,0.040180303,-0.00081253535,0.031509433,0.69643295,0.4401507,0.6721493,0.003190173,0.0023035367,0.00021719412,10.0,nan
31545914,4259850,4325386,0,0,0,0,0,0,0,0,407.77042,401.0074,2038.852,2005.0369,1.633365,0.12613988,2.090988e-08,2.9126744,1.5528636,-9.10063,-0.17318855,0.4445116,0.10474195,1.2459853,3.1118503,4.269744,0.014415442,0.032794002,0.0018292054,10.5,nan
32593294,4259850,4325386,0,0,0,0,0,0,0,0,407.77087,401.00717,2038.8542,2005.0359,2.2818034,0.0868352,2.5789255e-08,1.4049664,-0.10429879,-11.730399,-0.0066656466,-0.38817748,0.39462405,22.58994,3.3168142,17.68867,0.011752885,0.08054005,0.0026476136,10.0,nan
33535925,4259850,4325386,0,0,0,0,0,0,0,0,407.7709,401.00702,2038.8545,2005.0352,2.6966553,0.10835568,4.2452427e-08,-2.2153661,-1.3303232,-12.324862,0.021620736,-0.72544277,0.0916736,16.651245,12.377764,12.42987,0.27545628,0.009978424,0.01757434,10.5,nan
34583305,4259850,4325386,0,0,0,0,0,0,0,0,407.77142,401.00687,2038.8573,2005.0343,3.0913894,0.17125508,6.0590935e-08,6.34214,1.622362,-7.6153464,0.7807382,-0.2993525,0.1712366,25.29579,8.7656355,42.49554,0.13640846,0.2361101,0.0280678,10.5,nan
35525942,4259850,4325386,0,0,0,0,0,0,0,0,407.77197,401.0067,2038.8597,2005.0336,3.046893,0.17416151,1.01925146e-07,16.693506,-3.6218174,-5.890121,0.837599,-0.5209275,-0.7185558,30.008623,19.329851,13.293294,0.2342937,0.259402,0.018541764,10.5,nan
36568375,4259850,4325386,0,0,0,0,0,0,0,0,407.77286,401.00656,2038.8644,2005.0326,4.2405643,0.20947035,1.18539226e-07,1.5192314,0.15047644,-5.6755323,-0.1664377,0.15331335,0.818655,20.55799,25.567514,72.97172,0.79953045,0.031790398,0.018180821,10.5,nan
37511009,4259850,4325386,0,0,0,0,0,0,0,0,407.77203,401.00638,2038.8604,2005.032,4.8201213,0.25092474,3.630014e-07,4.728033,-0.9255331,-16.459293,-1.5918413,0.6895684,1.6102349,44.866768,24.248138,78.57316,0.5568575,0.18146075,0.098782666,10.5,nan
