timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
15725539,15725456,0.005411335,0.15282208,0.11685088,10.105379,-7.4982085,2.2814715
15742994,15742912,0.04466789,0.24202386,0.1410572,2.798775,5.6548243,1.9478408
15765433,15765355,0.17298207,0.7819831,0.10349738,5.0064034,26.043331,-2.8282006
15785384,15785305,0.19063814,1.0223038,-0.02088228,-2.6976297,9.593504,-5.019036
15807830,15807749,0.27505207,1.2578034,-0.049767464,0.20707577,9.367629,-1.4086839
15825284,15825205,0.29522744,1.1212628,-0.06929967,1.7915945,-7.1564384,-1.0520668
15845234,15845155,0.1774926,0.94365263,-0.09922272,-5.583989,-8.151678,-1.2936941
15865296,15865104,0.112394266,0.6074667,-0.114751674,-5.61791,-18.263962,-0.7805281
15882640,15882560,-0.0369081,0.3139768,-0.110729516,-9.994031,-16.253376,-0.08223546
15905084,15905004,-0.045002066,0.019633668,-0.093286544,3.2364135,-14.017249,1.3201528
15925034,15924954,0.018975275,-0.20826827,-0.07235102,1.7386197,-10.2033415,1.3239061
15947476,15947397,-0.015538629,-0.32457468,-0.04994295,-0.9722944,-5.437262,1.2189467
15964933,15964853,0.012044289,-0.41118002,-0.037102554,2.0111995,-4.653921,0.32753408
15984884,15984803,0.08388911,-0.40482053,-0.027846456,1.3654581,0.49093914,0.39915857
16007327,16007246,0.14831527,-0.3828739,-0.020600671,3.2985659,1.1615852,0.47718617
16024783,16024702,0.24425998,-0.32865024,-0.015532369,4.2893353,3.8380947,0.47291204
16042237,16042159,0.2183223,-0.25240064,-0.016951839,-1.7857229,3.8240578,0.03835668
16064789,16064602,0.051011227,-0.18415153,0.0042004874,-5.6022263,3.3057325,1.2817508
16087125,16087046,0.36613718,-0.119911745,0.024048084,17.14825,3.3596957,0.87141186
16104581,16104502,0.22225547,-0.0190942,-0.0065874145,-4.992446,5.839593,-1.0781113
16124531,16124451,0.11225861,0.101282574,-0.025632396,-9.14117,5.3735304,-0.2077347
16146976,16146895,0.22576812,-0.11022423,0.015797308,8.8444605,-13.634656,1.9602983
16164431,16164351,0.2387537,-0.5078643,0.05407336,-1.9190346,-21.41548,2.1588671
16184378,16184301,0.23446739,-0.92692995,0.047441408,-3.6668124,-19.809877,-0.1737737
16206826,16206744,0.3767392,-1.1951412,0.07823403,6.253684,-10.207195,1.8837873
16226773,16226694,0.34422225,-1.1592107,0.090185374,-0.32128465,2.0058339,0.5502592
16244233,16244150,0.2272748,-1.0742493,0.096676044,-6.401816,5.2977386,0.7513346
16264280,16264100,0.18818621,-0.8565604,0.098283425,2.2851458,11.545738,0.026759533
16286626,16286543,0.19262019,-0.6102602,0.09681423,1.3238394,10.75841,-0.25521243
16304079,16304000,0.16651776,-0.38431323,0.10025419,-3.5953941,12.874123,0.109726734
16324033,16323949,0.13572657,-0.13182051,0.10456469,-6.0301385,12.494208,-0.55402523
16346471,16346393,-0.06376711,0.12998046,0.100018956,-8.657984,11.650729,-0.5746224
16366421,16366343,-0.38446698,0.43630865,0.12438909,-15.385705,12.617425,1.1385376
16383877,16383799,0.247473,0.4900823,0.06860816,34.37586,3.8679307,-1.8523672
