timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
13540922,17.029354,33.876293,15.0,112.42471,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.70688,17.262321,1.0,15.741929,1.287425,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
13740919,16.051214,33.62175,15.0,115.14172,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.72365,17.30245,1.0,16.459751,-0.4085369,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
13940923,16.999075,95.20852,15.0,117.99743,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,18.903246,17.371511,1.0,15.875573,1.1235018,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
14140921,16.737564,32.25564,15.0,120.60472,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.382677,17.41514,1.0,16.791367,-0.05380249,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
14340937,16.631124,93.90833,15.0,124.13667,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,18.50929,17.508276,1.0,17.201155,-0.5700302,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
14540927,16.423752,46.958744,15.0,128.1714,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.362926,17.615164,1.0,16.852177,-0.42842484,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
14740933,15.697946,96.07287,15.0,131.91597,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.619404,17.663681,1.0,15.618118,0.07982731,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
14940920,16.22647,45.87464,15.0,134.97899,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.143963,17.653025,1.0,16.366096,-0.13962555,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
15140922,17.233057,96.62041,15.0,139.10883,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,19.165464,17.747255,1.0,16.522161,0.71089554,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
15340921,16.133797,66.941345,15.0,143.19646,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.472624,17.776758,1.0,16.691639,-0.55784225,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
