timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
27422201,27225746,27233642,31.18558950830585,117.19755098204314,0,0.25,0.25,-0.05690664,0.045035325,-0.059935506,0.067294985,0.2654142,0.26544386,0.0004880471,0.00030562855,-0.0005594213,0.0007213985,1,0,1
27923845,27727769,27736070,31.1855912098301,117.19755059873246,0,0.25,0.25,-0.047067977,0.0118218865,-0.05288726,0.039750014,0.26534057,0.26530847,0.00033396995,2.107087e-05,-0.00043426373,0.00033677227,1,0,1
28317904,28126778,28130131,31.185593498832343,117.19755069993039,0,0.25,0.25,-0.028992726,0.005701024,-0.042658854,0.022423312,0.2651471,0.26509786,0.00012680933,4.9041028e-06,-0.00029698794,0.00016663916,1,0,1
28918945,28729782,28731075,31.185593211306866,117.19755061703391,0,0.25,0.25,-0.0636181,-0.012653748,-0.047643736,0.0021330295,0.2650781,0.26514927,0.0006107276,2.4155048e-05,-0.00036187543,4.7134363e-05,1,0,1
29322814,29128891,29134988,31.185592716014916,117.19755093178387,0,0.25,0.25,-0.040882885,-0.023231247,-0.051259477,-0.00866322,0.26508844,0.2651902,0.00025220416,8.140434e-05,-0.0004165792,-6.426625e-06,1,0,1
29923776,29732768,29735932,31.185592834112413,117.19755100238022,0,0.25,0.25,-0.055338148,-0.03535668,-0.05056045,-0.019958137,0.26507565,0.2651492,0.00046210366,0.0001885874,-0.0003950191,-7.6926146e-05,1,0,1
30327683,30133998,30139846,31.185592236030548,117.19755110609287,0,0.25,0.25,-0.042498056,-0.052997556,-0.050710995,-0.033793338,0.2650915,0.26516303,0.00027252245,0.0004237002,-0.00039745335,-0.00021018053,1,0,1
30830208,30637770,30642275,31.18559193653071,117.19755151099498,0,0.25,0.25,-0.03077475,-0.07243113,-0.04367896,-0.05326676,0.26508918,0.2651527,0.00014290816,0.0007914336,-0.00030020025,-0.0004843364,1,0,1
31332552,31135765,31144705,31.18559172968171,117.19755181478264,0,0.25,0.25,-0.04386499,-0.07808949,-0.04080664,-0.06667889,0.2650659,0.2651572,0.00029036362,0.00091990246,-0.00025972765,-0.0007123562,1,0,1
31825397,31636766,31637282,31.18559202898061,117.19755203825994,0,0.25,0.25,-0.05551324,-0.063763395,-0.04654155,-0.06872276,0.26492783,0.2650605,0.000465292,0.00061356113,-0.00033636508,-0.00073198276,1,0,1
32327532,32133755,32139712,31.18559212579242,117.19755233335545,0,0.25,0.25,-0.063418105,-0.067728855,-0.057813395,-0.07208784,0.26492554,0.26510733,0.0006072432,0.00069212687,-0.00052681356,-0.00079524785,1,0,1
32829929,32633747,32642142,31.185592232278566,117.19755215791075,0,0.25,0.25,-0.07105353,-0.06530034,-0.06280979,-0.06812702,0.26494336,0.26517475,0.00076221634,0.0006432187,-0.00061032816,-0.00070922374,1,0,1
33421067,33229767,33233236,31.18559302880915,117.19755164543268,0,0.25,0.25,-0.103645116,-0.053401314,-0.07944746,-0.060065307,0.26478004,0.2650768,0.0016228278,0.00043032065,-0.0010004598,-0.0005531248,1,0,1
33923434,33733773,33735667,31.185596032251176,117.19755141606976,0,0.25,0.25,-0.09375611,-0.076102786,-0.08853651,-0.061671913,0.26479575,0.26515236,0.0013278474,0.00087370654,-0.0012148834,-0.000584446,1,0,1
34327357,34132772,34139582,31.18559532901919,117.19755206427752,0,0.25,0.25,-0.117923625,-0.109445184,-0.10209436,-0.07076281,0.26481992,0.26510745,0.0021004435,0.0018073046,-0.0016231379,-0.00081309327,1,0,1
34819961,34631746,34632161,31.18559132768306,117.19755373564192,0,0.25,0.25,-0.13880722,-0.057382006,-0.114467174,-0.068527065,0.26471266,0.26501033,0.0029114506,0.00049699115,-0.0020570194,-0.00074363616,1,0,1
35420928,35231780,35233108,31.185590104406618,117.19755342411965,0,0.25,0.25,-0.16065498,-0.018206505,-0.13661496,-0.043576516,0.26483098,0.26515287,0.0038983389,5.000539e-05,-0.002891854,-0.0003542595,1,0,1
35824850,35630949,35637023,31.185598576884605,117.19754877950106,0,0.25,0.25,-0.21917778,0.06829617,-0.15948123,-0.0010878353,0.26493528,0.2657519,0.007252926,0.00070206344,-0.004019767,-2.1030044e-05,1,0,1
36327227,36132745,36139454,31.18561084245264,117.19753696771505,0,0.25,0.25,0.17216715,0.28162503,-0.02377142,0.145482,0.2673743,0.27072075,0.0044344617,0.011718742,-0.00069962326,0.0054852366,1,0,1
36829657,36641746,36641886,31.18561699230908,117.19753350858932,0,0.25,0.25,0.13998641,0.22883561,0.064169616,0.203691,0.26962575,0.27286345,0.0029071695,0.0076764757,0.001098058,0.007369847,1,0,1
37332123,37136847,37144319,31.18562093060737,117.19753626554717,0,0.25,0.25,0.020652689,0.14883621,0.060303703,0.19781564,0.27002984,0.27172607,6.318317e-05,0.0032609631,0.0008481915,0.006369322,1,0,1
37834520,37637757,37646749,31.185623987468347,117.19755027683702,0,0.254016,0.254016,-0.110233806,0.08504904,-0.01171826,0.14022827,0.27534002,0.27525014,0.001765307,0.001051166,-9.299505e-05,0.0035494792,1,0,1
38327165,38134767,38139330,31.185619051315133,117.19757767844199,0,0.29160002,0.29160002,-0.028802972,0.09906907,-0.06929105,0.11848601,0.31699622,0.31386948,0.000104684055,0.0012507975,-0.0012889468,0.00272516,1,0,1
