timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
13990093,0.0,0.7591138,-0.13912424,0.057601035,0.6333031,0.15624997,0.0,0.0
14045260,0.0,0.7630145,-0.13876548,0.05846002,0.62859803,0.1574519,0.0,0.0
14095116,0.0,0.76652616,-0.1384356,0.059236974,0.624311,0.1574519,0.0,0.0
14144964,0.0,0.76977396,-0.13812456,0.059958648,0.6203021,0.1574519,0.0,0.0
14194811,0.0,0.7726801,-0.13784131,0.060606997,0.61667824,0.1574519,0.0,0.0
14244781,0.0,0.7769246,-0.13741904,0.061558414,0.6113221,0.15985575,0.0,0.0
14294549,0.0,0.781168,-0.13698651,0.062515035,0.60589033,0.15985575,0.0,0.0
14344481,0.0,0.7849293,-0.13659419,0.06336765,0.6010096,0.16105768,0.0,0.0
14394335,0.0,0.7878458,-0.1362841,0.06403186,0.5971814,0.1634615,0.0,0.0
14444235,0.0,0.7883991,-0.13622469,0.06415819,0.59645075,0.1634615,0.0,0.0
14494067,0.0,0.78587633,-0.13649407,0.06358303,0.5997707,0.1634615,0.0,0.0
14544006,0.0,0.7812094,-0.13698223,0.0625244,0.6058369,0.16466343,0.0,0.0
14593804,0.0,0.77660984,-0.13745072,0.06148767,0.611722,0.16586536,0.0,0.0
14643739,0.0,0.77370346,-0.13774045,0.060835898,0.6153938,0.16586536,0.0,0.0
14693610,0.0,0.7732173,-0.13778843,0.060727112,0.6160046,0.16586536,0.0,0.0
14743468,0.0,0.7744991,-0.1376616,0.06101408,0.61439216,0.16586536,0.0,0.0
14793301,0.0,0.7785017,-0.13653608,0.06246082,0.6094191,0.16586536,0.0,0.0
14843286,0.0,0.7841152,-0.13595144,0.06372329,0.6021793,0.16586536,0.0,0.0
14897824,0.0,0.7900648,-0.13604464,0.06453907,0.5942426,0.16586536,0.0,0.0
14942946,0.0,0.79365337,-0.13565081,0.06536276,0.58944124,0.16586536,0.0,0.0
14992825,0.0,0.7955616,-0.13543804,0.06580254,0.5868631,0.16586536,0.0,0.0
15042756,0.0,0.7966394,-0.1353168,0.06605146,0.58539927,0.16586536,0.0,0.0
15097313,0.0,0.7964469,-0.13533852,0.06600698,0.58566105,0.16586536,0.0,0.0
