timestamp,timestamp_sample,device_id,pressure,temperature,error_count
161981170,161980589,4028193,102305.0,9.139999,0
162974957,162974376,4028193,102312.0,9.12,0
163990182,163989601,4028193,102309.0,9.099999,0
164994475,164993893,4028193,102317.0,9.08,0
165988094,165987513,4028193,102314.0,9.05,0
166992571,166991990,4028193,102320.0,9.03,0
167986086,167985504,4028193,102308.0,9.0199995,0
168979742,168979161,4028193,102313.0,8.99,0
169973265,169972684,4028193,102324.0,8.98,0
170988494,170987913,4028193,102325.0,8.96,0
171992882,171992301,4028193,102326.0,8.94,0
172986437,172985856,4028193,102313.0,8.92,0
173990849,173990268,4028193,102297.0,8.91,0
174984491,174983903,4028193,102294.0,8.889999,0
175978073,175977492,4028193,102302.0,8.87,0
176971646,176971062,4028193,102295.0,8.84,0
177986957,177986376,4028193,102294.0,8.83,0
178991305,178990724,4028193,102294.0,8.8,0
179984942,179984360,4028193,102302.0,8.78,0
180989278,180988696,4028193,102297.0,8.7699995,0
181982898,181982317,4028193,102305.0,8.75,0
182976528,182975946,4028193,102311.0,8.74,0
183991661,183991080,4028193,102315.0,8.72,0
184985263,184984682,4028193,102306.0,8.7,0
185989696,185989114,4028193,102306.0,8.69,0
186983262,186982680,4028193,102302.0,8.67,0
187987734,187987152,4028193,102305.0,8.66,0
188981355,188980774,4028193,102302.0,8.639999,0
189974900,189974318,4028193,102310.0,8.63,0
190990080,190989499,4028193,102297.0,8.61,0
191983672,191983091,4028193,102302.0,8.599999,0
192988083,192987502,4028193,102311.0,8.59,0
193992580,193991999,4028193,102312.0,8.58,0
194986056,194985474,4028193,102312.0,8.57,0
195979744,195979163,4028193,102316.0,8.55,0
196994920,196994339,4028193,102298.0,8.55,0
197988489,197987908,4028193,102293.0,8.54,0
198992881,198992300,4028193,102295.0,8.53,0
199986473,199985892,4028193,102292.0,8.51,0
200990880,200990299,4028193,102294.0,8.5,0
201984482,201983901,4028193,102312.0,8.49,0
202978022,202977441,4028193,102324.0,8.47,0
203993314,203992733,4028193,102331.0,8.45,0
204986884,204986302,4028193,102329.0,8.429999,0
205991259,205990678,4028193,102319.0,8.42,0
206984867,206984286,4028193,102315.0,8.41,0
207989260,207988678,4028193,102315.0,8.41,0
208982786,208982205,4028193,102304.0,8.4,0
209976517,209975936,4028193,102296.0,8.389999,0
210991746,210991165,4028193,102304.0,8.389999,0
211985281,211984700,4028193,102301.0,8.389999,0
212989849,212989268,4028193,102312.0,8.38,0
213994286,213993705,4028193,102320.0,8.37,0
214987940,214987359,4028193,102334.0,8.36,0
215981557,215980976,4028193,102357.0,8.36,0
216975082,216974500,4028193,102364.0,8.34,0
217990269,217989688,4028193,102381.0,8.34,0
218983864,218983283,4028193,102370.0,8.33,0
219988029,219987448,4028193,102360.0,8.32,0
220992573,220991992,4028193,102358.0,8.309999,0
221986110,221985529,4028193,102355.0,8.3,0
222979669,222979088,4028193,102360.0,8.3,0
223973262,223972681,4028193,102367.0,8.28,0
224988451,224987870,4028193,102377.0,8.28,0
225992893,225992301,4028193,102383.0,8.2699995,0
226986455,226985874,4028193,102388.0,8.2699995,0
227990925,227990344,4028193,102398.0,8.26,0
228984527,228983946,4028193,102416.0,8.26,0
229978075,229977494,4028193,102434.0,8.26,0
230993464,230992883,4028193,102438.0,8.25,0
231987091,231986510,4028193,102448.0,8.24,0
232991509,232990928,4028193,102462.0,8.23,0
233985110,233984529,4028193,102469.0,8.23,0
234989485,234988904,4028193,102471.0,8.22,0
235983074,235982493,4028193,102493.0,8.21,0
236976728,236976147,4028193,102495.0,8.2,0
237991922,237991341,4028193,102521.0,8.19,0
238985536,238984955,4028193,102519.0,8.19,0
239989856,239989275,4028193,102533.0,8.179999,0
240983471,240982889,4028193,102554.0,8.16,0
241987672,241987091,4028193,102584.0,8.16,0
242981267,242980686,4028193,102588.0,8.139999,0
243974886,243974305,4028193,102607.0,8.139999,0
244990057,244989476,4028193,102614.0,8.13,0
245994484,245993902,4028193,102628.0,8.13,0
246988032,246987451,4028193,102636.0,8.12,0
247992517,247991936,4028193,102647.0,8.11,0
248986132,248985532,4028193,102675.0,8.11,0
249979518,249978937,4028193,102686.0,8.11,0
250973139,250972558,4028193,102696.0,8.11,0
251988457,251987876,4028193,102697.0,8.11,0
252992907,252992326,4028193,102716.0,8.11,0
253986495,253985913,4028193,102715.0,8.099999,0
254990861,254990280,4028193,102712.0,8.099999,0
255984522,255983941,4028193,102714.0,8.099999,0
256978025,256977444,4028193,102712.0,8.11,0
257993260,257992679,4028193,102712.0,8.13,0
258986905,258986324,4028193,102713.0,8.15,0
259991280,259990699,4028193,102713.0,8.17,0
260984859,260984277,4028193,102712.0,8.19,0
261989470,261988889,4028193,102716.0,8.22,0
262983075,262982493,4028193,102714.0,8.25,0
263976676,263976095,4028193,102714.0,8.28,0
264991958,264991376,4028193,102713.0,8.3,0
265985541,265984942,4028193,102716.0,8.33,0
