timestamp,altitude_sp,altitude_reference,altitude_time_constant,height_rate_reference,height_rate_direct,height_rate_setpoint,height_rate,equivalent_airspeed_sp,true_airspeed_sp,true_airspeed_filtered,true_airspeed_derivative_sp,true_airspeed_derivative,true_airspeed_derivative_raw,total_energy_rate_sp,total_energy_rate,total_energy_balance_rate_sp,total_energy_balance_rate,throttle_integ,pitch_integ,throttle_sp,pitch_sp_rad,throttle_trim,underspeed_ratio,fast_descend_ratio
62506097,70.32859,48.273407,10.0,0.8,nan,0.579729,1.1028861,7.0000005,6.924967,5.3094635,0.32310066,0.4222219,0.0,8.354301,12.946846,7.409069,15.102541,4.690219e-05,-inf,0.77764374,-0.34906584,0.6,0.0,0.0
62703108,70.32859,48.43102,10.0,0.8,nan,0.58799356,0.6767832,6.9999995,6.923908,4.9842243,0.3879368,0.0139934,0.0,8.887806,9.614311,7.3063517,9.920591,-7.6640215e-05,-inf,0.7998074,-0.34906584,0.6,0.0,0.0
62900292,70.32859,48.58876,10.0,0.8,nan,0.5932586,-0.1605105,6.9999995,6.9237947,5.1900005,0.34675884,0.21025331,0.0,8.7428875,7.705271,7.526376,-2.9067128,-8.933635e-05,-inf,0.82199055,-0.34906584,0.6,0.0,0.0
63107069,70.32859,48.75418,10.0,0.8,nan,0.60249287,-0.22258286,7.000001,6.923709,5.3008537,0.32457104,0.26568058,0.0,8.704927,6.3391476,7.7390375,-3.9783552,2.6826401e-06,-inf,0.84003145,-0.34906584,0.6,0.0,0.0
63304220,70.32859,48.911903,10.0,0.8,nan,0.61763835,0.3708588,6.9999995,6.9239254,5.3064547,0.32349417,0.19119088,0.0,8.902107,4.8537583,7.9655204,4.9480505,8.84822e-05,-inf,0.85,-0.34906584,0.6,0.0,0.0
63501310,70.32859,49.069572,10.0,0.8,nan,0.6350685,0.59387004,6.9999995,6.923943,4.95302,0.3941846,-0.24529342,0.0,9.571995,3.058657,7.9771857,9.343286,8.84822e-05,-inf,0.85,-0.34906584,0.6,0.0,0.0
63708112,70.32859,49.235012,10.0,0.8,nan,0.648854,0.17766778,7.0,6.9238033,5.0483155,0.37509757,-0.046805657,0.0,9.60582,1.8777982,8.246076,2.7316334,8.84822e-05,-inf,0.85,-0.34906584,0.6,0.0,0.0
63904975,70.32859,49.3925,10.0,0.8,nan,0.66080165,-0.2717344,6.9999995,6.923698,5.131632,0.35841322,0.043683995,0.0,9.632804,2.0461028,8.479604,-4.109291,8.84822e-05,-inf,0.85,-0.34906584,0.6,0.0,0.0
64102050,70.32859,49.550167,10.0,0.8,nan,0.6746574,-0.14816126,6.999999,6.9238987,5.1733356,0.35011265,0.09862806,0.0,9.674605,2.3129506,8.712121,-2.4345665,8.84822e-05,-inf,0.85,-0.34906584,0.6,0.0,0.0
64308895,70.32859,49.715645,10.0,0.8,nan,0.6938926,0.42713198,7.0,6.9237423,5.935952,0.19755803,0.8163591,0.0,8.770546,2.856959,9.523222,3.8601668,8.84822e-05,-inf,0.85,-0.34906584,0.6,0.0,0.0
64505951,70.32859,49.873287,10.0,0.8,nan,0.70941156,0.9472604,7.0000005,6.923935,4.3009124,0.5246045,-1.0640839,0.0,9.80665,2.6977816,8.619263,16.222443,0.000116279574,-inf,0.85,-0.34906584,0.6,0.0,0.0
64702956,70.32859,50.0309,10.0,0.8,nan,0.7146636,0.7010884,7.0000005,6.9239693,4.551984,0.4743971,-0.5770497,0.0,9.80665,2.968259,8.870329,11.626354,0.000116279574,-inf,0.85,-0.34906584,0.6,0.0,0.0
64900294,70.32859,50.188766,10.0,0.8,nan,0.71249765,0.564786,7.0,6.923786,4.206536,0.54345006,-0.63153726,0.0,9.80665,4.0565147,8.599457,9.636281,0.000116279574,-inf,0.85,-0.34906584,0.6,0.0,0.0
65107050,70.32859,50.354176,10.0,0.8,nan,0.7041698,1.1078959,6.9999995,6.9239516,4.662424,0.45230553,-0.07159663,0.0,9.80665,7.534616,8.79245,16.464027,0.000116279574,-inf,0.85,-0.34906584,0.6,0.0,0.0
65303885,70.32859,50.511642,10.0,0.8,nan,0.69569886,1.859449,6.9999986,6.9242992,4.8490767,0.41504452,0.122041605,0.0,9.80665,10.045191,8.796767,27.056555,0.00011507434,-inf,0.84828085,-0.34906584,0.6,0.0,0.0
65500922,70.32859,50.669273,10.0,0.8,nan,0.68864167,1.76635,7.0,6.92444,4.213291,0.5422298,-0.48317617,0.0,9.80665,10.012021,8.252583,27.000847,0.00010326768,-inf,0.84852415,-0.34906584,0.6,0.0,0.0
65707783,70.32859,50.83476,10.0,0.8,nan,0.6729499,1.4323388,7.0,6.9244833,4.1817584,0.548545,-0.41031453,0.0,9.80665,11.357387,7.9998813,21.927588,2.8084476e-05,-inf,0.83810395,-0.34906584,0.6,0.0,0.0
65904879,70.32859,50.992435,10.0,0.8,nan,0.6517429,1.4344505,7.0000005,6.9245095,4.0832295,0.568256,-0.41522446,0.0,9.80665,13.692073,7.619674,21.94846,-0.00013434062,-inf,0.8199894,-0.34906584,0.6,0.0,0.0
66101919,70.32859,51.150066,10.0,0.8,nan,0.63090664,1.9822017,7.0,6.924719,4.4750094,0.4899419,0.10901683,0.0,9.584967,15.78283,7.584266,28.914213,-0.0003689203,-inf,0.8067325,-0.34906584,0.6,0.0,0.0
66308937,70.32859,51.31568,10.0,0.8,nan,0.6178706,2.0757136,6.999999,6.924962,4.7040043,0.44419155,0.2746023,0.0,9.166881,16.273375,7.550857,29.88783,-0.00071626756,-inf,0.783443,-0.34906584,0.6,0.0,0.0
