timestamp,time_estimate,safe_time_estimate,valid
323904885,103.54,213.894,1
325929963,104.68003,215.14804,1
327955181,104.921745,215.41393,1
329980101,108.472,219.3192,1
332005112,112.46673,223.71341,1
334030193,114.53424,225.98767,1
336055326,113.65849,225.02434,1
338070609,109.64261,220.60687,1
340095384,107.00535,217.70589,1
342110366,103.506744,213.85742,1
344135526,100.71697,210.78867,1
346150574,98.535934,208.38953,1
348175507,100.41143,210.45258,1
350197033,100.36522,210.40175,1
352216459,98.252205,208.07742,1
354245751,96.13711,205.75082,1
356265515,93.68477,203.05325,1
358284569,90.47877,199.52664,1
360312713,89.03267,197.93594,1
362343271,87.81657,196.59822,1
364372579,86.20032,194.82036,1
366391966,84.87499,193.36249,1
368421501,83.4241,191.76651,1
370470516,82.994774,191.29425,1
372489595,83.32132,191.65346,1
374509002,83.547134,191.90186,1
376538230,85.99549,194.59505,1
378587261,85.9049,194.49539,1
380616640,85.44881,193.99368,1
382635895,88.53036,197.38339,1
384675267,88.37334,197.21068,1
386704296,88.66345,197.5298,1
388723638,88.818565,197.70042,1
390753128,89.96944,198.96638,1
392772356,91.24063,200.3647,1
394801523,93.577995,202.93579,1
396820936,94.17866,203.59653,1
398850401,97.350655,207.08572,1
400869532,100.08629,210.09492,1
402888830,103.80081,214.1809,1
404918214,106.41485,217.05634,1
406937416,109.90427,220.8947,1
408966621,111.575294,222.73283,1
410985962,114.29559,225.72516,1
413015431,117.83655,229.62021,1
415034612,121.61474,233.77621,1
417063729,124.3898,236.82878,1
419083063,127.98062,240.77869,1
421092684,130.96275,244.05904,1
423131665,132.52052,245.77258,1
425161058,0.0,0.0,0
427180180,0.0,0.0,0
429209340,0.0,0.0,0
431229057,0.0,0.0,0
433257984,0.0,0.0,0
435277344,0.0,0.0,0
437296792,0.0,0.0,0
439326118,0.0,0.0,0
441345361,0.0,0.0,0
443374705,0.0,0.0,0
445394269,0.0,0.0,0
447423397,0.0,0.0,0
449442823,0.0,0.0,0
451472017,0.0,0.0,0
453491458,0.0,0.0,0
455511127,0.0,0.0,0
457540086,0.0,0.0,0
459569423,0.0,0.0,0
461589004,0.0,0.0,0
463618849,0.0,0.0,0
465637688,0.0,0.0,0
467657027,0.0,0.0,0
469676463,0.0,0.0,0
471705762,0.0,0.0,0
473725209,0.0,0.0,0
475754620,0.0,0.0,0
477774231,0.0,0.0,0
479803301,0.0,0.0,0
481832799,0.0,0.0,0
483852248,0.0,0.0,0
485881428,125.1062,237.61682,1
487911135,125.35305,237.88835,1
489930294,125.1167,237.62837,1
491959578,124.9534,237.44875,1
493979129,124.8896,237.37857,1
495998522,124.97958,237.47754,1
498018031,124.70302,237.17332,1
500047389,124.82179,237.30397,1
502066861,124.86916,237.35608,1
504096345,124.80544,237.286,1
506115746,124.78268,237.26094,1
508145187,124.7953,237.27484,1
510174660,124.756714,237.23239,1
512193988,124.71446,237.18591,1
514223138,124.77234,237.24957,1
516242758,124.75639,237.23204,1
518262158,124.75605,237.23166,1
520281707,124.908424,237.39928,1
522311195,125.00039,237.50043,1
524330456,125.01028,237.5113,1
526359827,125.10291,237.6132,1
528379594,124.23727,236.661,1
530408587,124.80847,237.28932,1
532428114,124.148056,236.56287,1
534457417,0.0,0.0,0
536486803,125.21097,237.73207,1
538506237,125.262566,237.78882,1
540535599,125.19317,237.7125,1
542545215,125.004074,237.50449,1
544584569,124.960175,237.45619,1
546614061,124.67897,237.14687,1
548633420,124.69776,237.16754,1
550662712,124.45062,236.89569,1
552692092,124.45203,236.89723,1
554711826,124.408264,236.84909,1
556740987,124.18286,236.60115,1
