timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
233766876,10.999777,2.32935,15.0,154.4244,0.042685952,1.1584252,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999777,10.876835,0.042685952,11.176601,-0.17682457,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
233966874,10.91137,5.5615063,15.0,154.69751,0.029359309,1.1609857,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91137,10.852847,0.029359786,10.329629,0.58174133,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
234166875,10.298904,7.315844,15.0,154.85913,0.042554345,1.1584505,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.298904,10.876596,0.04255387,11.042003,-0.74309826,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
234356874,10.943269,1.7927938,15.0,155.10248,0.03998324,1.1589437,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.943269,10.871968,0.039982285,11.114381,-0.17111206,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
234557363,10.712684,3.946344,15.0,155.33852,0.035626378,1.1597801,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.712684,10.864125,0.035625424,11.063911,-0.35122776,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
234756873,10.837546,3.5636125,15.0,155.615,0.02543923,1.161741,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.837546,10.845788,0.025438277,11.031026,-0.19347954,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
234966873,10.513997,8.74605,15.0,155.82298,0.03276774,1.1603297,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.513997,10.858982,0.03276774,9.9377365,0.57626057,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
235166873,11.296896,1.1518562,15.0,156.03494,0.037535634,1.1594135,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.296896,10.867564,0.037535634,11.126598,0.17029762,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
235366874,10.97608,4.4334564,15.0,156.29527,0.028172938,1.1612142,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97608,10.850709,0.028171984,10.620679,0.35540104,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
235566875,11.285047,0.94492495,15.0,156.53311,0.029473273,1.1609638,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.285047,10.853052,0.02947375,10.9919405,0.29310608,0.0587766,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
