timestamp,io_errors,frames_tx,frames_rx,interface
170421462,5050,4960,0,0
170523676,5051,4961,0,0
170625936,5052,4962,0,0
170727462,5053,4962,0,0
170829462,5053,4965,0,0
170931466,5057,4983,0,0
171033464,5074,4984,0,0
171135462,5075,4984,0,0
171237462,5075,4985,0,0
171339462,5076,4988,0,0
171441463,5079,4989,0,0
171543469,5080,4990,0,0
171645462,5081,4990,0,0
171747462,5081,4994,0,0
171849465,5086,4994,0,0
171951462,5086,5011,0,0
172053464,5102,5011,0,0
172155462,5102,5011,0,0
172257463,5102,5014,0,0
172359634,5105,5015,0,0
172461462,5106,5015,0,0
172563473,5106,5016,0,0
172665462,5107,5017,0,0
172767462,5108,5020,0,0
172869462,5112,5021,0,0
172971462,5113,5038,0,0
173073548,5129,5039,0,0
173175462,5130,5040,0,0
173277462,5131,5043,0,0
173379462,5134,5044,0,0
173481480,5135,5044,0,0
173583468,5135,5045,0,0
173685462,5136,5046,0,0
173787462,5137,5047,0,0
173889462,5139,5049,0,0
173991462,5141,5067,0,0
174093473,5158,5068,0,0
174195462,5159,5069,0,0
174297462,5160,5072,0,0
174399462,5163,5073,0,0
174501463,5164,5073,0,0
174603662,5164,5073,0,0
174705462,5164,5073,0,0
174807463,5164,5075,0,0
174909463,5167,5093,0,0
175011573,5184,5094,0,0
175113464,5185,5095,0,0
175215461,5186,5095,0,0
175317462,5186,5098,0,0
175419475,5189,5099,0,0
175521931,5190,5100,0,0
175623464,5191,5101,0,0
175725463,5192,5101,0,0
175827462,5192,5104,0,0
175929462,5196,5122,0,0
176031462,5213,5123,0,0
176133479,5214,5124,0,0
176235719,5215,5124,0,0
176337462,5215,5127,0,0
176439463,5218,5128,0,0
176541467,5219,5129,0,0
176643467,5220,5129,0,0
176745463,5220,5130,0,0
176847462,5221,5133,0,0
176949462,5225,5152,0,0
177051461,5243,5152,0,0
177153467,5243,5152,0,0
177255464,5243,5152,0,0
177357463,5243,5154,0,0
177459539,5245,5155,0,0
177561462,5246,5155,0,0
177663465,5246,5156,0,0
177765462,5247,5157,0,0
177867462,5249,5160,0,0
177969463,5252,5177,0,0
178071462,5268,5178,0,0
178173476,5269,5179,0,0
178275462,5270,5180,0,0
178377462,5271,5183,0,0
178479481,5274,5183,0,0
178581462,5274,5184,0,0
178684213,5275,5185,0,0
178785462,5276,5186,0,0
178887463,5278,5189,0,0
178989463,5281,5206,0,0
179091462,5297,5207,0,0
179193467,5298,5208,0,0
179295462,5299,5209,0,0
179397462,5300,5211,0,0
179499467,5302,5212,0,0
179601462,5303,5214,0,0
179703467,5305,5214,0,0
179805462,5305,5214,0,0
179907502,5306,5233,0,0
180009462,5324,5233,0,0
180111462,5324,5234,0,0
180213478,5325,5235,0,0
180315462,5326,5235,0,0
180417604,5326,5238,0,0
180519462,5329,5239,0,0
180621462,5330,5240,0,0
180723464,5331,5240,0,0
180825480,5331,5241,0,0
180927462,5333,5261,0,0
181029462,5352,5262,0,0
181131553,5353,5263,0,0
181233464,5354,5263,0,0
181335462,5354,5264,0,0
181437462,5355,5267,0,0
181539462,5358,5268,0,0
181641463,5359,5268,0,0
181743467,5359,5269,0,0
181845464,5360,5270,0,0
181947462,5362,5290,0,0
182049462,5381,5291,0,0
182151463,5382,5291,0,0
182253468,5382,5293,0,0
182355462,5384,5293,0,0
182457462,5384,5295,0,0
182559464,5386,5295,0,0
182661462,5386,5295,0,0
182763556,5386,5296,0,0
182865472,5388,5297,0,0
182967462,5389,5317,0,0
183069586,5408,5317,0,0
183171462,5408,5318,0,0
183273465,5409,5319,0,0
183375462,5410,5320,0,0
183477462,5411,5322,0,0
183579758,5413,5323,0,0
183681463,5414,5324,0,0
183783464,5415,5325,0,0
183885463,5417,5326,0,0
183987464,5418,5345,0,0
184089462,5436,5346,0,0
184191462,5437,5347,0,0
184293676,5438,5348,0,0
184395481,5439,5351,0,0
184497462,5442,5351,0,0
184599462,5442,5352,0,0
184701463,5443,5353,0,0
184803479,5444,5355,0,0
184905463,5447,5374,0,0
185007476,5465,5374,0,0
185109462,5465,5374,0,0
185211478,5465,5374,0,0
185313732,5465,5374,0,0
185415462,5465,5377,0,0
185517537,5468,5378,0,0
185619462,5469,5379,0,0
185721463,5470,5379,0,0
185823464,5470,5380,0,0
185925744,5472,5400,0,0
186027470,5491,5401,0,0
186129464,5492,5402,0,0
186231462,5493,5402,0,0
186333465,5493,5403,0,0
186435462,5494,5404,0,0
186537462,5495,5407,0,0
186639462,5498,5408,0,0
186741873,5499,5408,0,0
186843480,5499,5409,0,0
186945463,5501,5429,0,0
187047463,5520,5430,0,0
187149462,5521,5430,0,0
187251462,5521,5431,0,0
187353465,5522,5432,0,0
187455462,5523,5436,0,0
187557462,5527,5436,0,0
187659462,5527,5436,0,0
187761462,5527,5436,0,0
187863464,5528,5436,0,0
187965511,5528,5456,0,0
188067462,5547,5456,0,0
188169462,5547,5457,0,0
188271462,5548,5458,0,0
188373465,5549,5459,0,0
188475556,5550,5462,0,0
188577462,5553,5462,0,0
188679463,5553,5463,0,0
188781462,5554,5464,0,0
188883463,5556,5465,0,0
188985463,5557,5484,0,0
189087462,5575,5485,0,0
189189503,5576,5486,0,0
189291462,5577,5487,0,0
189393467,5578,5488,0,0
189495462,5579,5490,0,0
189597462,5581,5491,0,0
189699468,5582,5492,0,0
189801462,5583,5493,0,0
189904043,5585,5511,0,0
190005632,5602,5513,0,0
190107462,5604,5515,0,0
190209463,5606,5515,0,0
190311462,5606,5515,0,0
190413464,5606,5515,0,0
190515462,5606,5517,0,0
190617462,5608,5518,0,0
190719462,5609,5519,0,0
190821462,5610,5519,0,0
190923550,5611,5537,0,0
191025462,5628,5540,0,0
191127530,5631,5541,0,0
191229462,5632,5541,0,0
191331462,5632,5542,0,0
191433464,5633,5543,0,0
191535462,5634,5546,0,0
191637634,5637,5547,0,0
191739462,5638,5547,0,0
191841474,5638,5548,0,0
191943467,5640,5566,0,0
192045462,5657,5569,0,0
192147462,5660,5570,0,0
192249462,5661,5570,0,0
192351615,5661,5571,0,0
192453464,5662,5572,0,0
192555462,5663,5575,0,0
192657462,5666,5575,0,0
192759462,5666,5577,0,0
192861463,5669,5577,0,0
192963464,5669,5594,0,0
193065463,5685,5596,0,0
193167463,5687,5596,0,0
193269462,5687,5597,0,0
193371463,5688,5598,0,0
193473464,5689,5599,0,0
193575462,5690,5601,0,0
193677463,5692,5602,0,0
