timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
128174632,128143174,4,6,1,0,0,0,0,0,0,0,0,0,0
129195029,129163195,4,6,1,0,0,0,0,0,0,0,0,0,0
130224611,130193481,4,6,1,0,0,0,0,0,0,0,0,0,0
131255429,131223035,4,6,1,0,0,0,0,0,0,0,0,0,0
132274622,132243203,4,6,1,0,0,0,0,0,0,0,0,0,0
133287288,133256481,4,6,1,0,0,0,0,0,0,0,0,0,0
134302718,134273491,4,6,1,0,0,0,0,0,0,0,0,0,0
135321943,135291847,4,6,1,0,0,0,0,0,0,0,0,0,0
136339105,136308292,4,6,1,0,0,0,0,0,0,0,0,0,0
137359331,137327516,4,6,1,0,0,0,0,0,0,0,0,0,0
138378246,138347065,4,6,1,0,0,0,0,0,0,0,0,0,0
139398447,139366679,4,6,1,0,0,0,0,0,0,0,0,0,0
140418138,140386274,4,6,1,0,0,0,0,0,0,0,0,0,0
141437318,141406094,4,6,1,0,0,0,0,0,0,0,0,0,0
142452501,142423661,4,6,1,0,0,0,0,0,0,0,0,0,0
143476465,143445032,4,6,1,0,0,0,0,0,0,0,0,0,0
144496197,144464613,4,6,1,0,0,0,0,0,0,0,0,0,0
145510477,145479191,4,6,1,0,0,0,0,0,0,0,0,0,0
146527936,146496496,4,6,1,0,0,0,0,0,0,0,0,0,0
147550473,147518460,4,6,1,0,0,0,0,0,0,0,0,0,0
148574341,148542956,4,6,1,0,0,0,0,0,0,0,0,0,0
149596118,149565733,4,6,1,0,0,0,0,0,0,0,0,0,0
150613066,150582065,4,6,1,0,0,0,0,0,0,0,0,0,0
151630574,151599339,4,6,1,0,0,0,0,0,0,0,0,0,0
152655259,152623796,4,6,1,0,0,0,0,0,0,0,0,0,0
153679451,153648366,4,6,1,0,0,0,0,0,0,0,0,0,0
154694016,154663218,4,6,1,0,0,0,0,0,0,0,0,0,0
155718594,155687537,4,6,1,0,0,0,0,0,0,0,0,0,0
156738119,156707306,4,6,1,0,0,0,0,0,0,0,0,0,0
157755963,157724095,4,6,1,0,0,0,0,0,0,0,0,0,0
158773587,158743647,4,6,1,0,0,0,0,0,0,0,0,0,0
159792316,159761405,4,6,1,0,0,0,0,0,0,0,0,0,0
160812050,160780465,4,6,1,0,0,0,0,0,0,0,0,0,0
161833743,161802337,4,6,1,0,0,0,0,0,0,0,0,0,0
162858506,162826903,4,6,1,0,0,0,0,0,0,0,0,0,0
163880584,163849568,4,6,1,0,0,0,0,0,0,0,0,0,0
164897948,164865982,4,6,1,0,0,0,0,0,0,0,0,0,0
