timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
116803743,2490378,2490378,0,0,0,0,0,0,0,0,406.02542,406.02542,8120.5083,8120.5083,5.470058,0.22626875,5.7642325e-08,1.3494184,0.0031246482,-5.2674046,-0.06964982,-0.018807229,-0.005397861,14.693541,18.538635,77.5383,0.9185754,0.030202502,0.014666873,9.42719,9.42719
117734692,2490378,2490378,0,0,0,0,0,0,0,0,406.02548,406.02548,8120.5093,8120.5093,6.2557096,0.27782157,1.064112e-07,6.1853685,0.39987418,-9.380559,0.012907425,0.26710624,0.20885381,72.60869,28.976181,156.58844,0.56608784,0.19619025,0.010301814,9.30649,9.30649
118769088,2490378,2490378,0,0,0,0,0,0,0,0,406.0255,406.0255,8120.5107,8120.5107,6.9871044,0.28130078,8.69874e-08,6.0152802,-0.021964079,-8.290981,0.021051714,0.15106432,0.18268177,54.068466,23.710882,131.21745,0.4072774,0.16736649,0.010398145,9.233882,9.233882
119803501,2490378,2490378,0,0,0,0,0,0,0,0,406.0256,406.0256,8120.512,8120.512,7.7301545,0.33540335,1.0984833e-07,4.992155,0.55263084,-5.155504,-0.2659862,-0.1565463,0.27885303,55.471832,39.867317,156.90518,0.57013285,0.13113849,0.01612856,9.167602,9.167602
120734440,2490378,2490378,0,0,0,0,0,0,0,0,406.02567,406.02567,8120.513,8120.513,7.5942836,0.32512102,6.663712e-08,7.983224,-0.40002152,-19.054327,0.943826,-0.0043153227,0.08082052,63.03573,60.169617,86.07727,0.10961371,0.0757316,0.045924794,9.109658,9.109658
121768859,2490378,2490378,0,0,0,0,0,0,0,0,406.02576,406.02576,8120.5146,8120.5146,7.8155694,0.32126695,6.164406e-08,10.255441,-0.22012225,-19.755283,0.5040159,-0.11569318,0.1882429,52.316628,45.462997,101.440994,0.2549953,0.17353132,0.028522315,9.056102,9.056102
122803229,2490378,2490378,0,0,0,0,0,0,0,0,406.0258,406.0258,8120.516,8120.516,7.7313104,0.32957223,1.0139108e-07,9.6951685,-0.20053944,-16.483753,0.72479963,-0.15869068,0.28116533,52.19388,24.579885,147.31447,0.6106509,0.18988128,0.0097822165,8.985363,8.985363
123734180,2490378,2490378,0,0,0,0,0,0,0,0,406.02588,406.02588,8120.5176,8120.5176,7.996867,0.34355947,1.1332735e-07,3.5116167,-0.5901258,-13.136755,0.53629094,0.070753634,-0.2236714,35.26695,79.335144,135.52374,0.9172174,0.06944151,0.043977525,8.906142,8.906142
124768571,2490378,2490378,0,0,0,0,0,0,0,0,406.026,406.026,8120.5195,8120.5195,7.4001274,0.34320644,9.7563365e-08,6.3346014,-0.79076785,-17.963129,0.6576212,-0.03330384,-0.054307908,60.27383,46.418163,108.073654,0.44751486,0.1559273,0.0574451,8.853304,8.853304
125803361,2490378,2490378,0,0,0,0,0,0,0,0,406.02606,406.02606,8120.521,8120.521,7.4496017,0.3379434,1.14689115e-07,8.591115,-0.6712091,-20.370325,1.336434,-0.1058603,-0.20575304,79.12567,42.553043,97.68708,0.23201716,0.19144462,0.061254356,8.783284,8.783284
126758545,2490378,2490378,0,0,1,0,0,0,0,0,406.02615,406.02615,8120.523,8120.523,6.8585777,0.2823228,7.3539255e-08,1.8648583,-0.5522564,-9.696612,0.24960573,-0.022094755,-0.21943845,19.350786,21.95592,125.2975,1.0479038,0.046970442,0.01310653,8.702339,8.702339
127792935,2490378,2490378,0,0,1,0,0,0,0,0,406.02625,406.02625,8120.5254,8120.5254,6.7532225,0.2554357,8.389226e-08,3.673667,-0.8031808,-14.873143,0.6954766,-0.03751616,-0.098590635,47.43628,40.351166,145.12611,0.4192296,0.0653018,0.02857644,8.639867,8.639867
128778061,2490378,2490378,0,0,2,0,0,0,0,0,406.02637,406.02637,8120.5273,8120.5273,6.58976,0.2576192,6.753074e-08,1.7867786,-0.28481013,-8.847063,0.06750281,0.19225761,0.0832213,9.976963,29.375261,106.409515,1.1726604,0.050973203,0.010027015,8.576963,8.576963
129792728,2490378,2490378,0,0,3,0,0,0,0,0,406.02643,406.02643,8120.5293,8120.5293,7.8640814,0.30208433,7.035556e-08,2.378083,-0.33233726,-7.400186,0.08951791,0.17624442,0.24211143,18.595104,48.705376,145.30142,0.8005385,0.033318795,0.013771084,8.498173,8.498173
130723676,2490378,2490378,0,0,3,0,0,0,0,0,406.02655,406.02655,8120.5312,8120.5312,7.608183,0.31258187,2.1340753e-07,2.0166867,0.41979128,1.0856835,-0.44666332,0.23004006,0.9291042,29.140518,34.3974,104.84734,0.20203486,0.054332424,0.030745318,8.498532,8.498532
131758051,2490378,2490378,0,0,3,0,0,0,0,0,406.02667,406.02667,8120.533,8120.533,7.1811976,0.33083948,2.1337505e-07,1.1082323,0.7393148,1.0893246,-0.6058027,0.1684106,0.47006252,21.231625,49.01717,86.75394,0.39832202,0.070944086,0.0634743,8.429448,8.429448
132748102,2490378,2490378,0,0,4,0,0,0,0,0,406.02676,406.02676,8120.535,8120.535,7.751684,0.35608998,1.8790584e-07,1.3028162,0.84332216,0.2377347,-0.4495619,0.020510603,0.48981404,22.913898,44.991436,79.14837,0.43624386,0.12150597,0.052565396,8.442821,8.442821
133782483,2490378,2490378,0,0,4,0,0,0,0,0,406.0269,406.0269,8120.537,8120.537,7.6195717,0.34149542,1.625472e-07,0.6144704,1.2710501,0.59428686,-0.6401248,0.13536473,0.09180097,19.916817,42.82801,83.79349,0.45432845,0.17555502,0.050395552,8.436132,8.436132
134816925,2490378,2490378,0,0,4,0,0,0,0,0,406.02698,406.02698,8120.539,8120.539,6.7466807,0.32631826,1.143926e-07,1.3673294,0.72471374,-0.0061964295,-0.78181064,0.31418976,-0.2988024,17.779188,24.771778,71.40348,0.20782042,0.042351253,0.022909438,8.426717,8.426717
135747865,2490378,2490378,0,0,4,0,0,0,0,0,406.02707,406.02707,8120.5415,8120.5415,7.211114,0.29236072,7.594596e-08,6.614666,0.88260555,-8.487961,0.32646495,-0.14237782,-0.24846378,74.33237,21.63228,161.44778,0.7274505,0.16349036,0.012595998,8.349149,8.349149
136782240,2490378,2490378,0,0,4,0,0,0,0,0,406.0272,406.0272,8120.544,8120.544,7.1419477,0.328739,9.060046e-08,4.913382,1.2167662,-6.2225227,-0.32363504,0.15352106,-0.1888455,59.472176,25.310898,153.93562,0.94573325,0.12327059,0.019569593,8.3066635,8.3066635
137816614,2490378,2490378,0,0,4,0,0,0,0,0,406.02728,406.02728,8120.546,8120.546,7.7245746,0.29360068,1.5176039e-07,2.0953562,2.0306113,-0.39821756,-0.7843375,0.16996844,-0.6744278,32.57471,20.379162,120.335205,1.4787816,0.092632934,0.016279157,8.212489,8.212489
138821452,2490378,2490378,0,0,5,0,0,0,0,0,406.0274,406.0274,8120.5483,8120.5483,7.156021,0.293693,1.2502002e-07,4.623124,1.0099797,-9.891864,0.39115003,-0.01005552,-0.12842156,46.67789,37.91185,197.72308,1.8288965,0.14163284,0.017983714,8.195995,8.195995
139752367,2490378,2490378,0,0,5,0,0,0,0,0,406.02753,406.02753,8120.5503,8120.5503,7.3538375,0.28054175,7.7716656e-08,7.4545493,-0.7084415,-19.930084,1.0188779,-0.003870045,0.046421178,45.652462,28.488867,83.254486,0.26449513,0.10874081,0.012686557,8.121405,8.121405
140737483,2490378,2490378,0,0,6,0,0,0,0,0,406.02765,406.02765,8120.5527,8120.5527,7.0556035,0.2818515,9.732095e-08,10.906984,-1.9008784,-24.528778,1.0165923,-0.12892044,0.56155586,17.937717,34.536488,72.69142,0.079727165,0.04011147,0.008318073,8.073121,8.073121
141771859,2490378,2490378,0,0,6,0,0,0,0,0,406.02777,406.02777,8120.5547,8120.5547,6.9155097,0.23652658,8.161274e-08,9.716433,-1.6249678,-21.501514,0.24156167,0.44260353,0.5514,58.8687,32.42351,96.73809,0.120566346,0.16729046,0.0130838705,8.028813,8.028813
142806228,2490378,2490378,0,0,6,0,0,0,0,0,406.0279,406.0279,8120.557,8120.557,6.636555,0.2478905,1.4079512e-07,10.053398,-1.8456768,-18.284088,-0.64281917,0.21137021,1.1805251,45.895054,26.732141,117.6047,0.05572922,0.138089,0.036711365,8.039741,8.039741
143737158,2490378,2490378,0,0,6,0,0,0,0,0,406.02795,406.02795,8120.56,8120.56,6.638102,0.29744378,1.2448513e-07,1.7052735,-0.6437245,-10.829434,-0.6187582,0.6973171,0.2717107,20.999912,27.149673,127.378075,0.12536539,0.112997755,0.012550682,8.021552,8.021552
144771577,2490378,2490378,0,0,6,0,0,0,0,0,406.02814,406.02814,8120.5625,8120.5625,6.204356,0.30197042,5.6625034e-08,2.9708664,-1.015654,-15.754656,-0.41317186,-0.027954964,0.2200432,31.278465,19.297361,124.53539,0.067110725,0.07072717,0.022836149,7.9674916,7.9674916
145805932,2490378,2490378,0,0,6,0,0,0,0,0,406.02826,406.02826,8120.5645,8120.5645,7.241045,0.340246,7.8760735e-08,6.0112305,-0.972023,-18.775352,0.14698528,-0.037328266,-0.2504983,49.11821,47.77609,100.39774,0.19918227,0.11600759,0.04841944,7.975687,7.975687
146736915,2490378,2490378,0,0,6,0,0,0,0,0,406.02832,406.02832,8120.567,8120.567,6.9079432,0.32170248,1.4827455e-07,2.348772,1.084038,2.6481664,-1.0735129,0.008879996,-0.18210302,23.390547,62.494644,91.893875,0.5407747,0.07270249,0.044878878,7.9338474,7.9338474
147771189,2490378,2490378,0,0,6,0,0,0,0,0,406.02844,406.02844,8120.5693,8120.5693,8.178404,0.3830132,3.393583e-07,2.6975343,1.4806455,1.81572,-1.0468872,0.05255615,-1.0440693,18.106833,61.131973,106.075096,1.268323,0.12533177,0.019983439,7.8825183,7.8825183
