timestamp,rpm_estimate,rpm_raw
63776111,-3e-45,0.0
63976111,-3e-45,0.0
64176111,-3e-45,0.0
64376112,-3e-45,0.0
64576110,-3e-45,0.0
64776111,-3e-45,0.0
64976110,-3e-45,0.0
65176111,-3e-45,0.0
65376121,-3e-45,0.0
65576111,-3e-45,0.0
65776111,-3e-45,0.0
65976134,-3e-45,0.0
66176111,-3e-45,0.0
66376111,-3e-45,0.0
66576111,-3e-45,0.0
66776111,-3e-45,0.0
66976111,-3e-45,0.0
67176114,-3e-45,0.0
67376114,-3e-45,0.0
67576119,-3e-45,0.0
67776110,-3e-45,0.0
67976123,-3e-45,0.0
68176111,0.6568645,0.0
68376112,-0.31948522,0.0
68576110,-0.3969077,1.4648479
68776110,0.20707849,1.4648479
68976111,0.36546087,1.4648479
69176110,-0.054423325,0.0
69376131,-0.08311446,0.0
69576111,-0.008839866,0.0
69776111,0.22726783,0.0
69976110,-0.0963955,0.0
70176111,-0.16416249,-1.4670485
70376124,-0.10483272,-1.462946
70576112,-0.017220048,0.0
70776119,-0.13179325,-1.4636769
70976111,0.13834333,0.0
71176111,0.08812788,0.0
71376111,0.099089995,0.0
71576110,0.1129106,1.4649944
71776110,0.18602055,1.4647014
71976141,-0.16517457,0.0
72176160,0.063207075,0.0
72376111,0.13243672,1.4648479
72576111,-0.15531763,0.0
72776111,0.023641583,0.0
72976118,0.00027256893,0.0
73176111,0.06991786,0.0
73376119,0.05098613,0.0
73576119,0.043060403,0.0
73776110,1.1659491,4.3949833
73976111,1.2656254,0.0
74176110,-1.9981223,1.4648479
74376110,-0.0060333665,-1.4648479
74576110,-0.0283876,1.4648479
74776111,0.35349774,0.0
74976111,0.1725053,0.0
75176112,-0.017961498,0.0
75376110,0.111870445,1.4648479
75576111,-0.20074724,-1.4647014
75776111,-1.65024,1.465874
75976110,-1.4414717,-5.8599777
76176111,-4.3770957,-8.787981
76376111,0.08830134,0.0
76576111,0.0062914984,0.0
76776117,0.029933179,0.0
76976112,0.00034510606,0.0
77176110,0.3242402,1.4648479
77376111,-0.05338914,0.0
77576111,0.007629176,0.0
77776113,1.161261,1.4711739
77976110,0.100859046,1.4677835
78176111,-0.20704822,0.0
78376110,0.37064245,0.0
78576111,0.042411692,0.0
78776110,0.0004889735,0.0
78976112,-0.07103057,0.0
79176111,0.038351085,0.0
79376111,0.020534687,0.0
79576111,0.045161843,0.0
79776111,-0.07031576,0.0
79976113,-0.14069925,-1.4644086
80176110,0.0036518269,0.0
80376110,-0.23454468,0.0
80576110,-0.0027041163,0.0
80776111,0.11981337,0.0
80976131,0.059343606,1.461924
81176111,0.005680167,0.0
81376111,-0.08222662,0.0
81576111,-0.0009480085,0.0
81776111,0.145843,0.0
81976110,-0.0750497,0.0
82176109,-0.06230544,0.0
82376111,-0.17171973,0.0
82576111,-0.23093596,0.0
82776111,-0.0026625101,0.0
82976111,-3.0696647e-05,0.0
83176111,-3.539083e-07,0.0
83376112,0.017855285,0.0
83576111,0.17330402,0.0
83776110,0.18822065,1.4649944
83976111,-0.04948018,0.0
84176113,1.3826103,8.804708
84376123,0.23769169,0.0
84576111,0.2070314,1.4648479
84776111,-0.23371378,0.0
84976121,0.08945584,1.4630922
85176111,-0.22703585,-1.4647014
85376111,-0.24112265,0.0
85576112,-0.002779954,0.0
85776110,-3.205069e-05,0.0
85976110,0.6903561,0.0
86176116,0.053878944,0.0
86376113,0.0006211818,0.0
86576111,0.061343063,0.0
86776110,-0.46120858,0.0
86976110,-0.0053173727,0.0
87176111,-6.130513e-05,0.0
87376118,-7.068e-07,0.0
87576112,-8.148848e-09,0.0
87776111,-9.394983e-11,0.0
87976111,-1.0831681e-12,0.0
88176112,-1.2488076e-14,0.0
88376111,1.2781874,2.931748
88576111,0.15445644,0.0
88776112,0.0017807614,0.0
88976111,0.14738321,1.4648479
89176111,0.009235321,0.0
89376111,0.00010647599,0.0
89576111,0.2929708,1.4648479
89776111,0.0075994385,0.0
89976129,0.26972365,1.4622158
90176111,-0.23916075,-1.4647014
90376111,0.0014648011,0.0
90576111,1.6888007e-05,0.0
90776111,0.18693992,0.0
90976134,0.01502991,0.0
91176120,-0.039385784,0.0
91376115,-0.00045408728,0.0
91576150,-5.2352707e-06,0.0
91776112,-6.035857e-08,0.0
91976111,-0.0034040152,0.0
92176112,0.1290851,0.0
92376111,0.0014882497,0.0
92576111,-0.42463723,-1.4648479
92776111,-0.01977506,0.0
92976112,2.1942196,4.3945436
93176112,-1.2583811,-1.4679304
