timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
40581611,0.16951814,-0.049448375,0.2,0.0
40778648,0.18171419,-0.049525194,0.19402999,0.0
40978150,0.18116741,-0.047834013,0.18991861,0.0
41177677,0.17645228,-0.054681957,0.19208147,0.0
41382187,0.19108509,-0.054323953,0.2,0.0
41581716,0.19983512,-0.043944627,0.2,0.0
41781234,0.2,-0.040220827,0.2,0.0
41980763,0.2,-0.03519754,0.2,0.0
42180282,0.19969854,-0.028747546,0.2,0.0
42379809,0.19900714,-0.024880687,0.2,0.0
42579340,0.2,-0.024741564,0.2,0.0
42781351,0.2,-0.017133925,0.2,0.0
42980875,0.19911703,-0.01358101,0.2,0.0
43180400,0.1985053,-0.013353859,0.2,0.0
43379928,0.2,-0.016267879,0.2,0.0
43579448,0.2,-0.01649044,0.2,0.0
43778973,0.19868466,-0.015102154,0.2,0.0
43978494,0.19615635,-0.013710986,0.2,0.0
44183010,0.19994512,-0.021603009,0.2,0.0
44382555,0.2,-0.029113015,0.2,0.0
44582060,0.2,-0.041733585,0.2,0.0
44781627,0.1975363,-0.053034652,0.2,0.0
44978623,0.19947232,-0.063814804,0.2,0.0
45178182,0.2,-0.07496689,0.2,0.0
45377661,0.2,-0.0852741,0.2,0.0
45582173,0.19941078,-0.0946689,0.2,0.0
45781699,0.19556662,-0.104547925,0.2,0.0
45981219,0.19912332,-0.11660711,0.2,0.0
46180753,0.2,-0.12062157,0.2,0.0
46380276,0.2,-0.12310168,0.19633622,0.0
46579979,0.19749928,-0.13307731,0.2,0.0
46779436,0.19654596,-0.13989401,0.19943877,0.0
46981381,0.19955899,-0.15330486,0.2,0.0
47180866,0.2,-0.16479412,0.2,0.0
47380385,0.2,-0.17683935,0.2,0.0
47579914,0.19644813,-0.18790823,0.2,0.0
47779434,0.19818915,-0.19252558,0.2,0.0
47978960,0.2,-0.19781825,0.2,0.0
48178499,0.2,-0.19959177,0.2,0.0
48382997,0.2,-0.20742275,0.2,0.0
48582523,0.1947194,-0.20773804,0.2,0.0
48782063,0.19934218,-0.2085121,0.2,0.0
48981569,0.2,-0.20201206,0.2,0.0
49178599,0.2,-0.19579326,0.2,0.0
49378126,0.19886787,-0.1946502,0.2,0.0
49577649,0.19647995,-0.19245322,0.2,0.0
49782162,0.19956999,-0.19457264,0.2,0.0
49981688,0.2,-0.19311981,0.2,0.0
50181212,0.2,-0.19502534,0.2,0.0
50380739,0.1976882,-0.19691873,0.2,0.0
50580260,0.19748233,-0.19221927,0.19940503,0.0
50779786,0.2,-0.18625505,0.2,0.0
50979321,0.2,-0.18188873,0.2,0.0
51181328,0.2,-0.17673582,0.2,0.0
51380853,0.19488554,-0.1746248,0.2,0.0
51580380,0.19998015,-0.17613235,0.2,0.0
51779902,0.2,-0.17333724,0.2,0.0
51979430,0.2,-0.17868869,0.2,0.0
52178950,0.19629444,-0.18320751,0.2,0.0
52378493,0.1967658,-0.19091134,0.2,0.0
52582992,0.19962677,-0.20573194,0.2,0.0
52782514,0.2,-0.21600167,0.2,0.0
52982048,0.2,-0.22124949,0.2,0.0
53181565,0.19841927,-0.22753672,0.2,0.0
53378596,0.19748084,-0.23364921,0.2,0.0
53578117,0.2,-0.23688602,0.2,0.0
53777650,0.2,-0.23553449,0.2,0.0
53982156,0.19891971,-0.22829407,0.2,0.0
54181696,0.19493052,-0.2340692,0.2,0.0
54381205,0.2,-0.24660827,0.2,0.0
54580735,0.2,-0.2509604,0.2,0.0
54780270,0.2,-0.26164204,0.2,0.0
54979785,0.19779384,-0.26793548,0.2,0.0
55179330,0.19604173,-0.2722127,0.2,0.0
55381335,0.2,-0.28508538,0.2,0.0
55580865,0.2,-0.29625916,0.2,0.0
55780377,0.2,-0.3065525,0.2,0.0
55979916,0.19655772,-0.3183874,0.2,0.0
56179434,0.19824219,-0.32621077,0.2,0.0
56378961,0.2,-0.335229,0.2,0.0
56578621,0.2,-0.34403342,0.2,0.0
56783023,0.2,-0.35244426,0.2,0.0
56982515,0.19410262,-0.35904104,0.2,0.0
57182044,0.2,-0.31980968,0.2,0.0
57381567,0.19976518,-0.28498462,0.1832447,0.0
57578598,0.17930846,-0.26073644,0.16376346,0.0
57778120,0.16603109,-0.24254113,0.16128226,0.0
57977650,0.14372796,-0.24563542,0.15818204,0.0
58182172,0.11870091,-0.25654116,0.14839877,0.0
58381687,0.092900306,-0.27817482,0.1322401,0.0
58581221,0.069339216,-0.29883176,0.11597184,0.0
58780737,0.045726515,-0.31943023,0.09969489,0.0
58980274,0.022059536,-0.3400157,0.083424665,0.0
59179786,-0.0015958757,-0.3606247,0.06715198,0.0
59379309,-0.025240727,-0.38120824,0.050891954,0.0
59581329,-0.0491919,-0.4,0.03443586,0.0
59780858,-0.072856456,-0.4,0.018184762,0.0
59980381,-0.09651242,-0.4,0.001930431,0.0
60179910,-0.12017428,-0.4,-0.014320725,0.0
60379432,-0.1438308,-0.4,-0.030565903,0.0
60578960,-0.16749807,-0.4,-0.046824634,0.0
60778483,-0.191156,-0.4,-0.063060395,0.0
60983001,-0.2,-0.4,-0.079674296,0.0
61182528,-0.2,-0.4,-0.095932186,0.0
61382064,-0.2,-0.4,-0.11218818,0.0
61581575,-0.2,-0.4,-0.12844971,0.0
61778607,-0.2,-0.4,-0.14450064,0.0
61978134,-0.2,-0.4,-0.16075575,0.0
62177659,-0.2,-0.4,-0.17701247,0.0
62382172,-0.2,-0.4,-0.19368689,0.0
62581701,-0.2,-0.4,-0.2,0.0
62781224,-0.2,-0.4,-0.2,0.0
62980751,-0.2,-0.4,-0.2,0.0
63180285,-0.2,-0.4,-0.2,0.0
63379803,-0.2,-0.4,-0.2,0.0
63579338,-0.2,-0.4,-0.2,0.0
63781365,-0.2,-0.4,-0.2,0.0
63980876,-0.2,-0.4,-0.2,0.0
64180404,-0.2,-0.4,-0.2,0.0
64379933,-0.2,-0.4,-0.2,0.0
64579456,-0.2,-0.4,-0.2,0.0
64778984,-0.2,-0.4,-0.2,0.0
64978511,-0.2,-0.4,-0.2,0.0
65183024,-0.2,-0.4,-0.2,0.0
65382552,-0.2,-0.4,-0.2,0.0
65579585,-0.2,-0.4,-0.2,0.0
65781607,-0.2,-0.4,-0.2,0.0
65978648,-0.2,-0.4,-0.2,0.0
66178170,-0.2,-0.4,-0.2,0.0
66377700,-0.2,-0.4,-0.2,0.0
66582285,-0.2,-0.4,-0.2,0.0
66781766,-0.2,-0.4,-0.2,0.0
66981278,-0.2,-0.4,-0.2,0.0
67180784,-0.2,-0.4,-0.2,0.0
67380323,-0.2,-0.4,-0.2,0.0
67579841,-0.2,-0.4,-0.2,0.0
67779367,-0.2,-0.4,-0.2,0.0
67981390,-0.2,-0.4,-0.2,0.0
68180915,-0.2,-0.4,-0.2,0.0
68380440,-0.2,-0.4,-0.2,0.0
68579981,-0.2,-0.4,-0.2,0.0
68779502,-0.2,-0.4,-0.2,0.0
68979034,-0.2,-0.4,-0.2,0.0
69178549,-0.2,-0.4,-0.2,0.0
69383077,-0.2,-0.3994544,-0.2,0.0
69580096,-0.2,-0.39759147,-0.2,0.0
69779629,-0.2,-0.39128226,-0.2,0.0
69979151,-0.2,-0.37904713,-0.2,0.0
70178679,-0.2,-0.36756524,-0.2,0.0
70378206,-0.2,-0.35569462,-0.2,0.0
70577754,-0.2,-0.34008014,-0.2,0.0
70782248,-0.2,-0.32080406,-0.2,0.0
70981777,0.0,0.0,0.0,0.0
71181300,0.0,0.0,0.0,0.0
71380831,0.0,0.0,0.0,0.0
71580356,0.0,0.0,0.0,0.0
71779886,0.0,0.0,0.0,0.0
71979413,0.0,0.0,0.0,0.0
72181433,0.0,0.0,0.0,0.0
72380973,-0.003624934,0.004343695,-0.0028827859,0.0
72580491,-0.022617346,0.030418837,-0.020180441,0.0
72780020,-0.04457821,0.056363367,-0.037395332,0.0
72979547,-0.069588915,0.07915696,-0.05557727,0.0
73179077,-0.09143957,0.096740216,-0.074767865,0.0
73378601,-0.11170071,0.11308975,-0.09471555,0.0
73580627,-0.13174407,0.13617152,-0.115639165,0.0
73780151,-0.15493791,0.16483365,-0.13713899,0.0
73979680,-0.18796195,0.18103735,-0.17178877,0.0
74179205,-0.19726035,0.15667082,-0.18575399,0.0
74378734,-0.2,0.10668422,-0.2,0.0
74578328,-0.2,0.11735041,-0.17669289,0.0
74777790,-0.2,0.11620863,-0.1812367,0.0
74982304,-0.2,0.10166698,-0.19871959,0.0
75181834,-0.2,0.08865382,-0.2,0.0
75381360,-0.2,0.08006739,-0.2,0.0
75580890,-0.2,0.06399209,-0.2,0.0
75780418,-0.2,0.042720072,-0.2,0.0
75979949,-0.2,0.039717294,-0.19950707,0.0
76179495,-0.2,0.04788689,-0.2,0.0
76381662,-0.2,0.062100958,-0.2,0.0
76581150,-0.2,0.079546385,-0.2,0.0
76780638,-0.2,0.09699578,-0.2,0.0
76980124,-0.2,0.11777781,-0.2,0.0
77179611,-0.2,0.13880374,-0.2,0.0
77379143,-0.2,0.1605734,-0.2,0.0
77578668,-0.2,0.18959723,-0.2,0.0
77783187,-0.2,0.2199383,-0.2,0.0
77980219,-0.2,0.24512535,-0.2,0.0
78179748,-0.2,0.26701578,-0.2,0.0
78379275,-0.2,0.28635257,-0.2,0.0
78581310,-0.2,0.30459312,-0.2,0.0
78778333,-0.2,0.31931955,-0.2,0.0
78977858,-0.2,0.33676577,-0.2,0.0
79182378,-0.2,0.35776854,-0.2,0.0
