timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
67542898,67523395,4028193,174.55162,99245.92,4.9096236,1.2432015,2,1
67715665,67696160,4028193,174.40366,99247.67,4.9096236,1.2432234,2,1
67953284,67928394,4028193,174.5939,99245.42,4.9096236,1.2431952,2,1
68180092,68157876,4028193,174.55162,99245.92,4.9096236,1.2432015,2,1
68352946,68330696,4028193,174.4882,99246.67,4.9096236,1.2432109,2,1
68579712,68560220,4028193,174.69958,99244.17,4.9096236,1.2431796,2,1
68752490,68732986,4028193,174.84758,99242.42,4.9096236,1.2431576,2,1
68925276,68905781,4028193,174.9744,99240.92,4.9096236,1.2431389,2,1
69162889,69137980,4028193,175.14351,99238.92,4.9096236,1.2431138,2,1
69335724,69310763,4028193,175.35489,99236.42,4.9096236,1.2430825,2,1
69562559,69540330,4028193,175.6297,99233.17,4.9096236,1.2430418,2,1
69735329,69713128,4028193,175.71689,99232.17,4.9096236,1.2430292,2,1
69962101,69942610,4028193,175.79881,99231.17,4.9096236,1.2430167,2,1
70134879,70115375,4028193,175.79881,99231.17,4.9096236,1.2430167,2,1
70372472,70347580,4028193,175.84372,99230.67,4.9096236,1.2430105,2,1
70545366,70520402,4028193,175.86487,99230.42,4.9096236,1.2430073,2,1
70772197,70749974,4028193,175.97057,99229.17,4.9096236,1.2429917,2,1
70944997,70922775,4028193,176.01283,99228.67,4.9096236,1.2429854,2,1
71171706,71152209,4028193,176.03397,99228.42,5.0073276,1.2425457,2,1
71344487,71324990,4028193,175.84372,99230.67,5.0073276,1.242574,2,1
71517288,71497775,4028193,175.97057,99229.17,4.9096236,1.2429917,2,1
71754934,71730000,4028193,175.84372,99230.67,5.0073276,1.242574,2,1
71927673,71902773,4028193,175.7354,99231.92,5.0073276,1.2425896,2,1
72154631,72132421,4028193,175.71689,99232.17,5.0073276,1.2425927,2,1
72381609,72362073,4028193,175.92827,99229.67,5.0073276,1.2425615,2,1
72554506,72534997,4028193,175.94942,99229.42,4.9096236,1.2429948,2,1
72727398,72707887,4028193,175.75917,99231.67,5.0073276,1.2425865,2,1
