timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
94067695,1200.0,0.26594892,583.1804,0.0,1332,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95329714,1200.0,0.26594892,573.4243,0.0,1361,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96330695,1200.0,0.26594892,660.3423,0.0,1376,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96580712,1200.0,0.26594892,619.23157,0.0,1379,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97831711,1200.0,0.26594892,528.51117,0.0,1395,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99091791,1200.0,0.26594892,443.63724,0.0,1424,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100341699,1200.0,0.26594892,738.6927,0.0,1441,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101351696,1200.0,0.26594892,627.98145,0.0,1459,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101592222,1200.0,0.26594892,468.31683,0.0,1460,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102852743,1200.0,0.26594892,525.4745,0.0,1489,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104102808,1200.0,0.26594892,925.43463,0.0,1507,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105362736,1200.0,0.26594892,399.2269,0.0,1524,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106372695,1200.0,0.26594892,520.82404,0.0,1539,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106612879,1200.0,0.26594892,814.7702,0.0,1552,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107862702,1200.0,0.26594892,443.68167,0.0,1569,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109122720,1200.0,0.26594892,535.65155,0.0,1586,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110372696,1200.0,0.26594892,568.30505,0.0,1615,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111372697,1200.0,0.26594892,660.9842,0.0,1631,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111632808,1200.0,0.26594892,641.9557,0.0,1634,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112882697,1200.0,0.26594892,563.42993,0.0,1652,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114132770,1200.0,0.26594892,491.0449,0.0,1681,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115393703,1200.0,0.26594892,731.7491,0.0,1698,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116403696,1200.0,0.26594892,633.3666,0.0,1714,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116643710,1200.0,0.26594892,633.3666,0.0,1715,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117903697,1200.0,0.26594892,525.97107,0.0,1744,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119153698,1200.0,0.26594892,916.88794,0.0,1763,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120403911,1200.0,0.26594892,399.00992,0.0,1779,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121404697,1200.0,0.26594892,525.4745,0.0,1796,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121664707,1200.0,0.26594892,525.4745,0.0,1809,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122914871,1200.0,0.26594892,443.54898,0.0,1826,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124164748,1200.0,0.26594892,540.9984,0.0,1844,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
