timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
49907647,0.0025777884,0,0,0,0,0,0,0,0,0
50413664,0.0075516654,0,0,0,0,0,0,0,0,0
50919648,0.0067744837,0,0,0,0,0,0,0,0,0
51425700,0.0048702057,0,0,0,0,0,0,0,0,0
51931647,0.0052146106,0,0,0,0,0,0,0,0,0
52437646,0.0055915294,0,0,0,0,0,0,0,0,0
52943645,0.005552884,0,0,0,0,0,0,0,0,0
53449647,0.0068772496,0,0,0,0,0,0,0,0,0
53955693,0.005715692,0,0,0,0,0,0,0,0,0
54462647,0.0070712445,0,0,0,0,0,0,0,0,0
54968646,0.007104395,0,0,0,0,0,0,0,0,0
55474646,0.0067527313,0,0,0,0,0,0,0,0,0
55981160,0.0055617974,0,0,0,0,0,0,0,0,0
56486648,0.0063145086,0,0,0,0,0,0,0,0,0
56992648,0.003666834,0,0,0,0,0,0,0,0,0
57499660,0.00032501516,0,0,0,0,0,0,0,0,0
58005697,-6.504416e-06,0,0,0,0,0,0,0,0,0
58511657,-0.00036528174,0,0,0,0,0,0,0,0,0
59018646,-0.00068281847,0,0,0,0,0,0,0,0,0
59524832,0.00041690937,0,0,0,0,0,0,0,0,0
60030646,-0.00029925755,0,0,0,0,0,0,0,0,0
60536975,-0.0011819749,0,0,0,0,0,0,0,0,0
61042646,-0.0021331236,0,0,0,0,0,0,0,0,0
61548652,-0.0035034595,0,0,0,0,0,0,0,0,0
62054783,-0.004165451,0,0,0,0,0,0,0,0,0
62560647,-0.002546169,0,0,0,0,0,0,0,0,0
63066958,-0.0027041852,0,0,0,0,0,0,0,0,0
63573650,-0.0024518508,0,0,0,0,0,0,0,0,0
64079954,-0.002224133,0,0,0,0,0,0,0,0,0
64586646,-0.0028441472,0,0,0,0,0,0,0,0,0
65092646,-0.0027279193,0,0,0,0,0,0,0,0,0
65598670,-0.0024862972,0,0,0,0,0,0,0,0,0
66104784,-0.0020322897,0,0,0,0,0,0,0,0,0
66611647,-0.0048252176,0,0,0,0,0,0,0,0,0
67117666,-0.0074152295,0,0,0,0,0,0,0,0,0
67623646,-0.0128753055,0,0,0,0,0,0,0,0,0
68129647,0.0039497707,0,0,0,0,0,0,0,0,0
68635842,0.0143578835,0,0,0,0,0,0,0,0,0
69141646,0.015791742,0,0,0,0,0,0,0,0,0
69647646,0.025115382,0,0,0,0,0,0,0,0,0
70153656,0.023625828,0,0,0,0,0,0,0,0,0
70659647,0.08568699,0,0,0,0,0,0,0,0,0
71165653,0.07994575,0,0,0,0,0,0,0,0,0
71672674,0.0768376,0,0,0,0,0,0,0,0,0
72178646,0.070315324,0,0,0,0,0,0,0,0,0
72684648,0.06590354,0,0,0,0,0,0,0,0,0
73191008,0.055581845,0,0,0,0,0,0,0,0,0
73696646,0.016533138,0,0,0,0,0,0,0,0,0
74202647,-0.023481002,0,0,0,0,0,0,0,0,0
74709647,-0.089366,0,0,0,0,0,0,0,0,0
75215976,-0.21311472,0,0,0,0,0,0,0,0,0
75721660,-0.37753782,0,0,0,0,0,0,0,0,0
76227647,-0.48208153,0,0,0,0,0,0,0,0,0
76733815,-0.50939906,0,0,0,0,0,0,0,0,0
77239648,-0.5358108,0,0,0,0,0,0,0,0,0
77745797,-0.559966,0,0,0,0,0,0,0,0,0
78251647,-0.5767557,0,0,0,0,0,0,0,0,0
78757646,-0.5890359,0,0,0,0,0,0,0,0,0
79263664,-0.8671402,0,0,0,0,0,0,0,0,0
79769648,-1.2835805,0,0,0,0,0,0,0,0,0
80276927,-1.7034475,0,0,0,0,0,0,0,0,0
80782650,-2.235781,0,0,0,0,0,0,0,0,0
81288647,-2.6544087,0,0,0,0,0,0,0,0,0
81794683,-2.9442968,0,0,0,0,0,0,0,0,0
82300647,-3.189181,0,0,0,0,0,0,0,0,0
82543101,-2.8973343,0,1,0,0,0,0,0,0,0
82553954,-2.8973343,0,1,0,0,0,0,0,0,0
83059646,-2.4700804,0,1,0,0,0,0,0,0,0
83565656,-2.280762,0,1,0,0,0,0,0,0,0
84071646,-2.0585535,0,1,0,0,0,0,0,0,0
84577648,-1.8580705,0,1,0,0,0,0,0,0,0
85084478,-1.7113621,0,1,0,0,0,0,0,0,0
85589687,-1.544947,0,1,0,0,0,0,0,0,0
