timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
136557273,136557095,0.11684227,-0.4680576,-0.11589571,-1.0665463,3.3785758,-2.4532907
136579453,136579270,0.046935808,-0.36095148,-0.15577964,-2.800091,5.4835463,-1.5036739
136599161,136598982,0.033648863,-0.24168892,-0.16963083,0.31442878,6.348972,-0.5450908
136616407,136616229,0.07758518,-0.12483506,-0.1696981,2.9338334,7.086322,0.1017918
136638582,136638404,0.16264664,0.022838969,-0.15945108,3.6323504,6.671101,0.58253413
136658294,136658116,0.22461687,0.13819496,-0.14604603,3.444877,5.91775,0.6875417
136678009,136677827,0.28008354,0.23251669,-0.1346539,2.7441604,4.574194,0.53797114
136697718,136697539,0.2951927,0.2956809,-0.12492634,0.017799811,2.978271,0.41834843
136719895,136719714,0.27521518,0.3348041,-0.1144648,-0.844729,1.1686968,0.49412292
136739603,136739426,0.25666317,0.33435392,-0.10239982,-1.0213153,-0.26959172,0.8227112
136756853,136756673,0.24556425,0.3175953,-0.08724443,-0.63471144,-1.1196656,0.9159726
136779025,136778848,0.22860217,0.27461776,-0.05696304,-1.2260047,-2.15266,1.6263309
136798737,136798560,0.19453843,0.23642424,-0.0093743475,-1.7539588,-2.0062423,2.859732
136815989,136815807,0.1765853,0.2051154,0.05613751,-0.8950656,-1.910826,4.1390753
136838161,136837983,0.13695607,0.17747892,0.15823446,-2.2082171,-0.72771925,4.9419146
136857873,136857694,0.07944247,0.1761758,0.26923963,-3.2432938,0.1082771,5.964861
136880047,136879870,0.03049338,0.1830846,0.3968181,-1.4998057,0.25314206,5.8075333
136897297,136897117,0.032944415,0.18060681,0.48649102,0.8630121,-0.28819433,5.0557117
136919469,136919292,0.11677627,0.17902356,0.5770343,3.7922547,-0.061171643,3.7399414
136939180,136939004,0.15671478,0.16713227,0.62693346,1.6319321,-0.8773565,2.4200015
136956439,136956251,0.14345662,0.13983324,0.66121477,-2.2279692,-1.664685,1.8330878
136978608,136978427,-0.0049505485,0.0953154,0.6876103,-7.271568,-2.116796,1.244957
136998318,136998138,-0.15299615,0.055040393,0.69195145,-6.6503496,-2.3309145,0.044310607
137020492,137020313,-0.18733965,0.007615392,0.67549753,0.22063883,-1.8438082,-1.1553286
137037741,137037561,-0.14390191,-0.0073346226,0.64272267,2.8040838,-0.6762828,-2.2316983
137057452,137057272,-0.060182355,-0.0142357135,0.5918312,4.7113547,-0.27407482,-2.695391
137079633,137079448,0.09143073,0.007567742,0.5186393,7.914893,1.3758682,-3.6895328
137096876,137096695,0.2282166,0.018543575,0.45217028,7.939228,0.2836928,-3.9970944
137119063,137118871,0.2670715,0.017687205,0.34268302,-0.6854466,-0.038410615,-5.357626
137138759,137138582,0.1761721,0.00073247845,0.2321178,-5.5427957,-1.1675407,-5.901258
137160935,137160757,0.070571184,-0.036982764,0.107265644,-4.086255,-1.9478327,-5.56101
