timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,termination_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch,payload_power_switch
125351554,125328455,3,4,1,0,0,0,0,0,0,0,0,0,0,0
126371326,126348062,3,4,1,0,0,0,0,0,0,0,0,0,0,0
127390903,127367773,3,4,1,0,0,0,0,0,0,0,0,0,0,0
128410447,128387354,3,4,1,0,0,0,0,0,0,0,0,0,0,0
129430100,129406968,3,4,1,0,0,0,0,0,0,0,0,0,0,0
130449734,130426669,3,4,1,0,0,0,0,0,0,0,0,0,0,0
131469363,131446272,3,4,1,0,0,0,0,0,0,0,0,0,0,0
132489017,132465961,3,4,1,0,0,0,0,0,0,0,0,0,0,0
133508664,133485566,3,4,1,0,0,0,0,0,0,0,0,0,0,0
134530797,134507641,3,4,1,0,0,0,0,0,0,0,0,0,0,0
135550448,135527301,3,4,1,0,0,0,0,0,0,0,0,0,0,0
136570058,136546984,3,4,1,0,0,0,0,0,0,0,0,0,0,0
137592148,137569005,3,4,1,0,0,0,0,0,0,0,0,0,0,0
138592162,138569022,3,4,1,0,0,0,0,0,0,0,0,0,0,0
139611801,139588614,3,4,1,0,0,0,0,0,0,0,0,0,0,0
140631398,140608312,3,4,1,0,0,0,0,0,0,0,0,0,0,0
141653628,141630342,3,4,1,0,0,0,0,0,0,0,0,0,0,0
142675636,142652461,3,4,1,0,0,0,0,0,0,0,0,0,0,0
143695228,143672156,3,4,1,0,0,0,0,0,0,0,0,0,0,0
144717407,144694228,3,4,1,0,0,0,0,0,0,0,0,0,0,0
145737007,145713894,3,4,1,0,0,0,0,0,0,0,0,0,0,0
146756704,146733518,3,4,1,0,0,0,0,0,0,0,0,0,0,0
147776347,147753165,3,4,1,0,0,0,0,0,0,0,0,0,0,0
148796002,148772819,3,4,1,0,0,0,0,0,0,0,0,0,0,0
149818235,149794918,3,4,1,0,0,0,0,0,0,0,0,0,0,0
150840173,150817027,3,4,1,0,0,0,0,0,0,0,0,0,0,0
151859819,151836704,3,4,1,0,0,0,0,0,0,0,0,0,0,0
152879493,152856361,3,4,1,0,0,0,0,0,0,0,0,0,0,0
153901710,153878469,3,4,1,0,0,0,0,0,0,0,0,0,0,0
154923775,154900560,3,4,1,0,0,0,0,0,0,0,0,0,0,0
155943384,155920227,3,4,1,0,0,0,0,0,0,0,0,0,0,0
156965475,156942336,3,4,1,0,0,0,0,0,0,0,0,0,0,0
157985116,157962003,3,4,1,0,0,0,0,0,0,0,0,0,0,0
159004810,158981643,3,4,1,0,0,0,0,0,0,0,0,0,0,0
160024419,160001312,3,4,1,0,0,0,0,0,0,0,0,0,0,0
161046575,161023429,3,4,1,0,0,0,0,0,0,0,0,0,0,0
162066235,162043109,3,4,1,0,0,0,0,0,0,0,0,0,0,0
163085879,163062749,3,4,1,0,0,0,0,0,0,0,0,0,0,0
164108099,164084845,3,4,1,0,0,0,0,0,0,0,0,0,0,0
165127868,165104515,3,4,1,0,0,0,0,0,0,0,0,0,0,0
166149756,166126623,3,4,1,0,0,0,0,0,0,0,0,0,0,0
167169444,167146283,3,4,1,0,0,0,0,0,0,0,0,0,0,0
168169462,168143812,3,4,1,0,0,0,0,0,0,0,0,0,0,0
169191484,169168376,3,4,1,0,0,0,0,0,0,0,0,0,0,0
169435336,169412198,4,4,3,0,0,0,0,0,0,0,0,0,0,0
