timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
572152595,572152468,-1.0,0.5000001,nan,nan,nan,nan,nan,nan
572252387,572252269,-0.9572605,-0.04273978,nan,nan,nan,nan,nan,nan
572352194,572352069,-1.0,0.29522073,nan,nan,nan,nan,nan,nan
572454500,572454363,-1.0,0.5000001,nan,nan,nan,nan,nan,nan
572551796,572551669,-0.8335032,0.15996827,nan,nan,nan,nan,nan,nan
572654082,572653964,-1.0,0.37288746,nan,nan,nan,nan,nan,nan
572751547,572751269,-1.0,0.6022959,nan,nan,nan,nan,nan,nan
572853702,572853564,-0.7422637,0.13192569,nan,nan,nan,nan,nan,nan
572951146,572950869,-1.0,0.6257753,nan,nan,nan,nan,nan,nan
573053284,573053164,-1.0,0.7562201,nan,nan,nan,nan,nan,nan
573153173,573152964,-0.5334687,0.25232118,nan,nan,nan,nan,nan,nan
573252882,573252764,-1.0,0.8012156,nan,nan,nan,nan,nan,nan
573352756,573352564,-0.7452601,0.49339116,nan,nan,nan,nan,nan,nan
573452484,573452364,-0.17727147,0.25055274,nan,nan,nan,nan,nan,nan
573552347,573552164,-1.0,0.86731154,nan,nan,nan,nan,nan,nan
573652084,573651964,-0.69636464,0.027789334,nan,nan,nan,nan,nan,nan
573751919,573751764,-1.0,0.80805343,nan,nan,nan,nan,nan,nan
573854189,573854059,-0.6999102,0.48213035,nan,nan,nan,nan,nan,nan
573951502,573951365,-0.2184238,-0.1995933,nan,nan,nan,nan,nan,nan
574053781,574053659,-1.0,0.38991147,nan,nan,nan,nan,nan,nan
574151085,574150965,-0.37143117,-0.61203694,nan,nan,nan,nan,nan,nan
574253375,574253259,-0.37874305,-0.49223542,nan,nan,nan,nan,nan,nan
574350694,574350564,-0.6160072,-0.38399306,nan,nan,nan,nan,nan,nan
574452977,574452859,0.17514867,-1.0,nan,nan,nan,nan,nan,nan
574555278,574555153,-0.34860778,-0.30546716,nan,nan,nan,nan,nan,nan
574652575,574652458,0.16356015,-1.0,nan,nan,nan,nan,nan,nan
574754886,574754753,-0.31161416,-0.6883861,nan,nan,nan,nan,nan,nan
574852180,574852058,-0.49990183,-0.5000984,nan,nan,nan,nan,nan,nan
574954475,574954353,-0.08313988,-0.762883,nan,nan,nan,nan,nan,nan
575054271,575054152,-0.44061238,-0.55938786,nan,nan,nan,nan,nan,nan
575151597,575151457,-0.009877056,-0.99012315,nan,nan,nan,nan,nan,nan
575253871,575253752,-0.4098968,-0.59010345,nan,nan,nan,nan,nan,nan
575351177,575351056,-0.5381165,-0.46188372,nan,nan,nan,nan,nan,nan
575453469,575453351,0.33720392,-1.0,nan,nan,nan,nan,nan,nan
575550792,575550656,-0.07004073,-0.92995954,nan,nan,nan,nan,nan,nan
575653071,575652951,0.37642825,-1.0,nan,nan,nan,nan,nan,nan
575750372,575750255,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
575852674,575852550,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
575954966,575954846,0.5558778,-1.0,nan,nan,nan,nan,nan,nan
576052268,576052149,0.4122421,-1.0,nan,nan,nan,nan,nan,nan
576154572,576154444,0.6433234,-1.0,nan,nan,nan,nan,nan,nan
576251868,576251749,0.59310895,-1.0,nan,nan,nan,nan,nan,nan
576354163,576354043,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
576451471,576451348,0.59595954,-1.0,nan,nan,nan,nan,nan,nan
576553764,576553642,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
576653558,576653442,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
576753375,576753241,0.64038676,-1.0,nan,nan,nan,nan,nan,nan
576853163,576853041,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
576950465,576950345,0.57014465,-1.0,nan,nan,nan,nan,nan,nan
577052759,577052640,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
577150065,577149944,0.5837131,-1.0,nan,nan,nan,nan,nan,nan
577252357,577252239,0.5916767,-1.0,nan,nan,nan,nan,nan,nan
577354655,577354533,0.5297795,-1.0,nan,nan,nan,nan,nan,nan
577451956,577451838,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
577554251,577554132,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
577651557,577651437,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
577753860,577753731,0.30139196,-0.86165,nan,nan,nan,nan,nan,nan
577853668,577853530,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
577953449,577953332,0.21294191,-0.9628777,nan,nan,nan,nan,nan,nan
578053249,578053129,0.38221288,-1.0,nan,nan,nan,nan,nan,nan
578153049,578152928,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
578252848,578252728,0.4264061,-1.0,nan,nan,nan,nan,nan,nan
578352650,578352527,0.48676938,-1.0,nan,nan,nan,nan,nan,nan
578452446,578452326,0.2837777,-1.0,nan,nan,nan,nan,nan,nan
578552257,578552125,0.26372972,-0.94451207,nan,nan,nan,nan,nan,nan
578652046,578651925,-0.08169758,-0.91830266,nan,nan,nan,nan,nan,nan
578754337,578754219,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
578851647,578851523,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
578953934,578953817,-0.21818607,-0.6154251,nan,nan,nan,nan,nan,nan
579051244,579051122,-0.021712003,-0.71186733,nan,nan,nan,nan,nan,nan
579153534,579153416,-0.27448583,-0.7255144,nan,nan,nan,nan,nan,nan
579250841,579250720,-0.09654172,-0.7601869,nan,nan,nan,nan,nan,nan
579353148,579353014,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
579452932,579452813,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
579552734,579552612,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
579652528,579652411,0.062481046,-1.0,nan,nan,nan,nan,nan,nan
579752329,579752211,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
579852130,579852010,0.4170838,-1.0,nan,nan,nan,nan,nan,nan
579951927,579951809,-0.59527385,-0.40472636,nan,nan,nan,nan,nan,nan
580051725,580051608,-0.14164282,-0.54434687,nan,nan,nan,nan,nan,nan
580154082,580153902,-0.3165309,-0.6366381,nan,nan,nan,nan,nan,nan
580251323,580251206,0.005103171,-1.0,nan,nan,nan,nan,nan,nan
580353626,580353500,-0.051063955,-0.94037414,nan,nan,nan,nan,nan,nan
580450924,580450804,0.28660858,-1.0,nan,nan,nan,nan,nan,nan
580553219,580553098,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
580655509,580655392,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
580752815,580752696,-0.21141076,-0.7885895,nan,nan,nan,nan,nan,nan
580855111,580854990,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
580952415,580952294,-0.21547732,-0.7845229,nan,nan,nan,nan,nan,nan
581054705,581054588,0.4610139,-1.0,nan,nan,nan,nan,nan,nan
581152010,581151891,-0.271753,-0.7282472,nan,nan,nan,nan,nan,nan
581254306,581254185,-0.67286575,-0.3271345,nan,nan,nan,nan,nan,nan
581351613,581351489,-0.06609875,-0.9339015,nan,nan,nan,nan,nan,nan
581451408,581451288,-0.033485502,-0.9665147,nan,nan,nan,nan,nan,nan
581553704,581553582,-0.5968392,-0.40316105,nan,nan,nan,nan,nan,nan
581651006,581650886,-0.20770565,-0.7922946,nan,nan,nan,nan,nan,nan
581753297,581753179,-0.26925462,-0.7307456,nan,nan,nan,nan,nan,nan
581850611,581850483,-0.06059125,-0.7025721,nan,nan,nan,nan,nan,nan
581952895,581952777,0.10359944,-0.81766486,nan,nan,nan,nan,nan,nan
582055199,582055071,-0.12286863,-0.8771316,nan,nan,nan,nan,nan,nan
582152492,582152375,0.17756006,-0.64044297,nan,nan,nan,nan,nan,nan
582254796,582254669,0.4135008,-1.0,nan,nan,nan,nan,nan,nan
582352089,582351972,0.12616646,-0.87316304,nan,nan,nan,nan,nan,nan
582454567,582454266,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
582551691,582551570,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
582654126,582653863,0.47351614,-1.0,nan,nan,nan,nan,nan,nan
582751285,582751167,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
582853705,582853461,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
582953387,582953259,0.36297822,-0.94139504,nan,nan,nan,nan,nan,nan
583053280,583053058,0.07340932,-0.45969373,nan,nan,nan,nan,nan,nan
583153003,583152857,0.16785076,-0.6402376,nan,nan,nan,nan,nan,nan
583252861,583252655,0.3109553,-1.0,nan,nan,nan,nan,nan,nan
583352574,583352454,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
583449969,583449758,0.31879973,-1.0,nan,nan,nan,nan,nan,nan
583552169,583552051,0.29984924,-1.0,nan,nan,nan,nan,nan,nan
583654475,583654345,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
583751768,583751648,0.5000001,-1.0,nan,nan,nan,nan,nan,nan
