timestamp,frequency_hz
578301107,3.9718702
578351105,3.7082872
578401117,3.9279943
578451106,3.9087348
578501127,3.9430237
578551115,3.9902391
578601105,3.6916914
578651106,3.8472204
578701114,3.920815
578751105,3.933234
578801105,3.994755
578851114,3.7461019
578901128,3.8111289
578951105,3.9937413
579001115,3.9039755
579051103,4.051793
579101128,3.7608562
579151115,3.7414126
579201136,3.9727561
579251105,3.8540423
579301132,4.0344315
579351106,3.7826984
579401105,3.74779
579451115,3.9780624
579501113,3.8939936
579551106,4.0336695
579601117,3.8751001
579651105,3.693989
579701124,3.9493861
579751115,3.8525298
579801118,3.9770339
579851105,3.9111588
579901117,3.6932335
579951105,3.947956
580001106,3.8766406
580051128,3.9769983
580101114,3.954582
580151105,3.6843147
580201115,3.8647192
580251105,3.8939042
580301125,3.9217424
580351115,3.9778774
580401106,3.6982408
580451106,3.8107119
580501137,3.9437523
580551114,3.875199
580601122,4.0191092
580651114,3.7244194
580701125,3.73524
580751106,3.9360847
580801144,3.8135424
580851105,3.9901211
580901148,3.7505944
580951115,3.723214
581001105,3.945495
581051105,3.834039
581101129,3.9751801
581151105,3.8447614
581201105,3.6515243
581251114,3.8859098
581301139,3.8333826
581351105,3.9052668
581401115,3.8811905
581451105,3.5813637
581501126,3.7559745
581551114,3.8139768
581601103,3.8059685
581651106,3.9157763
581701159,3.6135457
581751107,3.660954
581801107,3.8591278
581851122,3.7449307
581901117,3.9277227
581951107,3.6957881
582001116,3.6070259
582051106,3.8695369
582101121,3.7461438
582151115,3.8866289
582201105,3.7993693
582251105,3.6083438
582301121,3.8123338
582351105,3.8058045
582401106,3.8233337
582451114,3.8877242
582501111,3.5968258
582551105,3.7233243
582601114,3.887575
582651105,3.7931457
582701119,3.953073
582751116,3.6793225
582801105,3.6440072
582851142,3.915129
582901118,3.8020318
582951105,3.992842
583001105,3.8177824
583051115,3.6487417
583101112,3.913628
583151105,3.8197773
583201114,3.9638164
583251105,3.8682656
583301124,3.6638577
583351115,3.8759832
583401106,3.8927803
583451109,3.932021
583501121,3.9614549
583551105,3.6618617
583601105,3.7962635
583651114,3.895139
583701111,3.8750143
583751105,3.9989252
583801114,3.7235415
583851106,3.8172152
583901133,3.9511168
583951114,3.889031
584001116,4.019447
584051105,3.7441201
584101115,3.7335312
584151106,3.9421048
584201105,3.8786812
584251162,4.0098433
584301137,3.825981
584351105,3.6936214
584401115,3.964423
584451108,3.8626225
584501130,4.010171
584551114,3.8652143
584601130,3.6545742
584651105,3.9187365
584701166,3.851085
584751106,3.9805746
584801105,3.911425
584851114,3.6842732
584901122,3.8777347
584951106,3.9007065
585001114,3.9182122
585051105,3.9743457
585101119,3.676911
585151115,3.8224585
585201105,3.9216528
585251105,3.882241
585301122,4.0116
585351120,3.721013
585401107,3.7879486
585451115,3.9584002
585501132,3.8615053
585551105,4.0206203
585601114,3.7535713
585651105,3.7389886
585701119,3.9482803
585751144,3.8609166
585801105,3.994702
585851105,3.8512654
585901117,3.700602
585951105,3.959348
586001105,3.835773
586051115,3.9645467
586101163,3.8780794
586151107,3.6626425
586201114,3.9311566
586251105,3.8549294
586301118,3.9743931
586351115,3.9311726
586401105,3.6489305
586451105,3.8328633
586501140,3.8596945
586551106,3.8655317
586601105,3.9430115
586651115,3.6870463
586701114,3.7811427
586751105,3.9384458
586801131,3.842882
586851107,3.9969645
586901132,3.7091787
586951117,3.6848297
587001106,3.929098
587051106,3.8046331
587101130,3.9828572
587151132,3.793421
587201106,3.6534448
587251114,3.9168346
587301117,3.8058324
587351105,3.9381187
587401114,3.8410687
587451105,3.6498046
587501130,3.8657238
587551116,3.8619845
587601105,3.9087412
587651107,3.9380496
587701125,3.6355693
587751106,3.777672
587801120,3.8891623
587851115,3.8451946
587901108,3.9777336
587951104,3.6927326
588001114,3.733401
588051108,3.9216838
588101124,3.8008833
588151116,3.9719834
588201106,3.7411005
588251105,3.7028956
588301112,3.9287086
588351106,3.837082
588401106,3.9748106
588451114,3.8339243
588501123,3.6352396
588551105,3.864695
588601114,3.831807
588651106,3.916715
588701144,3.913247
588751132,3.6450756
588801106,3.8447115
588851106,3.8589146
588901116,3.8469095
588951106,3.956321
589001106,3.6550398
589051123,3.8079479
589101114,3.9098985
589151105,3.8683002
589201134,3.9920552
589251115,3.693638
589301140,3.6910956
589351119,3.9059784
589401106,3.8225849
589451105,3.968913
589501124,3.7996283
589551107,3.6682546
589601107,3.9291348
589651114,3.8022375
589701117,3.9475706
589751105,3.8501327
589801115,3.6306787
589851105,3.8920617
589901119,3.8338547
589951117,3.9325254
590001125,3.9217231
590051126,3.6284242
590101112,3.811709
590151105,3.854715
590201121,3.884112
590251129,3.9508562
590301135,3.6985822
590351106,3.7381387
590401115,3.9343712
590451109,3.8323576
590501195,3.98471
590551128,3.7289689
590601105,3.6737342
590651105,3.940763
590701148,3.794377
590751105,3.94663
590801105,3.7815115
590851114,3.5608099
590901113,3.8401976
590951106,3.780126
591001115,3.8921876
591051105,3.8730056
591101125,3.5734184
591151114,3.7472694
591201105,3.8196373
591251105,3.8411002
591301118,3.9157348
591351106,3.6465075
591401105,3.653644
591451114,3.8601813
591501121,3.7672057
591551132,3.91546
591601114,3.7530391
591651106,3.5965729
591701153,3.8485935
591751114,3.754424
591801106,3.852702
591851106,3.8332663
591901117,3.581321
591951106,3.780512
592001106,3.7992196
592051115,3.8000894
592101108,3.8989367
592151105,3.6067057
592201114,3.713185
592251105,3.863545
592301135,3.7803636
592351115,3.9344985
592401106,3.6772232
592451106,3.652081
592501118,3.8828855
592551105,3.7929733
592601106,3.9310522
592651116,3.7805867
592701128,3.5795684
592751128,3.807914
592801115,3.806682
592851106,3.8580785
592901137,3.8984253
592951123,3.5814137
593001106,3.7198799
593051106,3.8697677
593101133,3.822671
593151111,3.9566991
593201106,3.6526911
593251115,3.6281095
593301113,3.8722272
593351106,3.753009
593401115,3.9505327
593451107,3.7542753
593501113,3.591243
593551116,3.8492434
593601106,3.746381
593651106,3.8952682
593701126,3.8273277
593751106,3.6054747
593801149,3.7929263
593851115,3.7978282
593901112,3.819373
593951106,3.8971164
594001115,3.6543634
594051105,3.7181277
594101114,3.8938208
594151116,3.8068259
594201106,3.9659746
594251106,3.707534
594301117,3.6494975
594351106,3.9226747
594401109,3.8014672
594451124,3.973376
594501163,3.8000023
594551106,3.6004226
594601115,3.8641407
594651106,3.8069656
594701119,3.9402802
594751115,3.8792903
594801106,3.6371748
594851106,3.829224
594901117,3.870068
594951111,3.9075286
595001106,3.9577222
595051115,3.6949112
595101171,3.8037965
595151106,3.9473488
595201115,3.9142725
595251105,4.0355167
595301165,3.748472
595351115,3.7846823
595401128,3.969888
595451105,3.8914518
595501133,4.0477552
595551106,3.7796984
595601105,3.768583
595651116,3.981797
595701107,3.9119124
595751105,4.042758
595801115,3.8683374
595851106,3.760482
595901161,4.0213947
595951116,3.9051774
596001106,4.0704303
596051105,3.8923242
596101134,3.7134984
596151106,3.9757738
596201105,3.8732746
596251115,4.014499
596301113,3.9164343
596351106,3.7297785
596401114,3.9432254
596451106,3.9029913
596501119,3.9780586
596551115,3.9688063
596601111,3.7176178
596651117,3.9526544
596701157,3.927589
596751125,3.9937341
596801107,4.0001035
596851115,3.6996772
596901122,3.881665
596951105,3.9273546
597001115,3.9364192
597051106,4.0079494
597101114,3.740414
597151155,3.8448596
597201106,3.9751115
597251105,3.9190981
597301167,4.0498915
597351105,3.768917
597401105,3.8298082
597451123,3.9890718
597501113,3.898094
597551127,4.0553684
597601115,3.7897468
597651105,3.7830367
597701125,3.9743774
597751116,3.8890715
597801105,4.0267134
597851136,3.8378785
597901124,3.7493227
597951105,4.01062
598001105,3.878151
598051124,4.0498466
598101131,3.8798468
598151105,3.723649
598201114,3.9831197
598251106,3.8621533
598301118,4.0088935
598351114,3.9043808
598401106,3.7206793
598451106,3.9374511
598501153,3.9035535
598551105,3.9686263
598601106,3.9725533
598651114,3.727296
598701113,3.9468653
598751106,3.9171045
598801132,3.9858572
598851109,3.992875
598901120,3.7020962
598951115,3.8714283
599001105,3.9194653
599051122,3.9317033
599101149,3.996327
599151106,3.7439373
599201105,3.8417993
599251116,3.982122
599301119,3.927394
599351105,4.0579185
599401115,3.7671242
599451105,3.8107197
599501115,3.9841847
599551114,3.883157
599601106,4.045998
599651105,3.786858
599701145,3.785992
599751105,3.976205
599801106,3.892525
599851108,4.0292177
599901139,3.8513436
599951105,3.7573211
600001114,4.0097184
600051105,3.8825624
600101146,4.049484
600151129,3.8897464
600201106,3.70671
600251104,3.9695935
600301142,3.869381
600351108,4.000207
600401105,3.9050941
600451114,3.7211478
600501113,3.933475
600551105,3.91475
600601115,3.983254
600651105,3.976406
600701120,3.6979544
600751114,3.9066
600801105,3.922729
600851105,3.9579773
600901134,3.9991393
600951105,3.6891139
601001105,3.8599648
601051114,3.912349
601101112,3.955757
601151106,3.9989233
601201114,3.7503736
601251105,3.823275
601301144,3.9871528
601351115,3.9110434
601401105,4.0546083
601451105,3.7657564
601501152,3.7505002
601551130,3.9720988
601601106,3.8570583
601651114,4.030772
601701130,3.7879233
601751107,3.761219
601801116,3.9725997
601851106,3.9121797
601901134,4.1557436
601951115,4.028336
602001106,3.9455595
602051105,4.182525
602101139,4.070497
602151119,4.2436132
602201105,4.0004773
602251115,4.009578
602301119,4.1982627
602351106,4.113527
602401114,4.267065
602451105,3.971012
602501119,4.07549
602551156,4.1539793
602601106,4.1432624
602651111,4.2060027
602701121,3.9362886
602751135,4.0627766
602801107,4.1393456
602851114,4.14111
602901120,4.2028685
602951105,3.9256423
603001138,4.1256003
603051105,4.1371818
603101145,4.1995234
603151116,4.1666408
603201106,3.9120162
603251105,4.1532764
603301112,4.0720105
603351106,4.193284
603401105,4.1097074
