timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
82152795,4259850,4259850,2490378,0,0,0.24952364,0.24952376,0.0,0.0,4325386,4325386,2490378,0,0,0.009393474,0.009393479,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
82347380,4259850,4259850,2490378,0,0,0.25565252,0.2556526,0.0,0.0,4325386,4325386,2490378,0,0,0.022307163,0.02230716,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
82546977,4259850,4259850,2490378,0,0,0.19921565,0.1992156,0.0,0.0,4325386,4325386,2490378,0,0,0.006367869,0.006367878,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
82746564,4259850,4259850,2490378,0,0,0.17427465,0.17427447,0.0,0.0,4325386,4325386,2490378,0,0,0.028471358,0.028471354,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
82946154,4259850,4259850,2490378,0,0,0.2931917,0.29319167,0.0,0.0,4325386,4325386,2490378,0,0,0.007143307,0.0071432884,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
83145746,4259850,4259850,2490378,0,0,0.30351758,0.30351776,0.0,0.0,4325386,4325386,2490378,0,0,0.021921113,0.021921111,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
83345336,4259850,4259850,2490378,0,0,0.2329836,0.23298353,0.0,0.0,4325386,4325386,2490378,0,0,0.010708192,0.0107081905,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
83549913,4259850,4259850,2490378,0,0,0.35234392,0.35234398,0.0,0.0,4325386,4325386,2490378,0,0,0.013593991,0.013593977,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
83749552,4259850,4259850,2490378,0,0,0.4667099,0.46671,0.0,0.0,4325386,4325386,2490378,0,0,0.00067166466,0.00067167013,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
83949091,4259850,4259850,2490378,0,0,0.33065128,0.33065134,0.0,0.0,4325386,4325386,2490378,0,0,0.0135640325,0.013564036,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
84148725,4259850,4259850,2490378,0,0,0.1540932,0.1540933,0.0,0.0,4325386,4325386,2490378,0,0,0.006927077,0.0069270865,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
84348280,4259850,4259850,2490378,0,0,0.26161507,0.26161507,0.0,0.0,4325386,4325386,2490378,0,0,0.010163852,0.010163856,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
84547865,4259850,4259850,2490378,0,0,0.27641433,0.2764143,0.0,0.0,4325386,4325386,2490378,0,0,0.010034292,0.010034283,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
84747459,4259850,4259850,2490378,0,0,0.42596355,0.42596373,0.0,0.0,4325386,4325386,2490378,0,0,0.0027756295,0.0027756363,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
84952034,4259850,4259850,2490378,0,0,0.3237939,0.32379395,0.0,0.0,4325386,4325386,2490378,0,0,0.003199581,0.00319958,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
85151628,4259850,4259850,2490378,0,0,0.23700376,0.23700374,0.0,0.0,4325386,4325386,2490378,0,0,0.03495345,0.03495344,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
85351216,4259850,4259850,2490378,0,0,0.17809168,0.17809166,0.0,0.0,4325386,4325386,2490378,0,0,0.0061054034,0.0061053997,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
85550805,4259850,4259850,2490378,0,0,0.21690238,0.21690238,0.0,0.0,4325386,4325386,2490378,0,0,0.014195426,0.0141954245,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
85750399,4259850,4259850,2490378,0,0,0.1702543,0.17025436,0.0,0.0,4325386,4325386,2490378,0,0,0.0061712824,0.006171287,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
85950023,4259850,4259850,2490378,0,0,0.31963637,0.31963634,0.0,0.0,4325386,4325386,2490378,0,0,0.025251774,0.025251776,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
86149571,4259850,4259850,2490378,0,0,0.30683866,0.30683875,0.0,0.0,4325386,4325386,2490378,0,0,0.0062006307,0.0062006284,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
86349193,4259850,4259850,2490378,0,0,0.32199383,0.32199386,0.0,0.0,4325386,4325386,2490378,0,0,0.012520577,0.012520573,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
86548761,4259850,4259850,2490378,0,0,0.32686332,0.32686314,0.0,0.0,4325386,4325386,2490378,0,0,0.006907276,0.0069072735,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
86748389,4259850,4259850,2490378,0,0,0.14840226,0.14840227,0.0,0.0,4325386,4325386,2490378,0,0,0.006925198,0.006925193,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
86947933,4259850,4259850,2490378,0,0,0.21627139,0.21627142,0.0,0.0,4325386,4325386,2490378,0,0,0.005095312,0.005095318,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
87147526,4259850,4259850,2490378,0,0,0.31299868,0.31299874,0.0,0.0,4325386,4325386,2490378,0,0,0.024257813,0.024257801,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
87347117,4259850,4259850,2490378,0,0,0.20046274,0.20046277,0.0,0.0,4325386,4325386,2490378,0,0,0.0048035714,0.004803571,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
87546706,4259850,4259850,2490378,0,0,0.42727083,0.42727092,0.0,0.0,4325386,4325386,2490378,0,0,0.013600118,0.01360011,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
87751280,4259850,4259850,2490378,0,0,0.38993856,0.38993832,0.0,0.0,4325386,4325386,2490378,0,0,0.0061831963,0.006183187,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
87950869,4259850,4259850,2490378,0,0,0.23066415,0.23066413,0.0,0.0,4325386,4325386,2490378,0,0,0.030634241,0.030634249,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
88150461,4259850,4259850,2490378,0,0,0.24896778,0.24896784,0.0,0.0,4325386,4325386,2490378,0,0,0.0093033975,0.009303406,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
88350058,4259850,4259850,2490378,0,0,0.15077312,0.1507731,0.0,0.0,4325386,4325386,2490378,0,0,0.025649088,0.025649104,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
88549648,4259850,4259850,2490378,0,0,0.24219866,0.24219869,0.0,0.0,4325386,4325386,2490378,0,0,0.005094343,0.0050943447,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
88749238,4259850,4259850,2490378,0,0,0.26348668,0.26348668,0.0,0.0,4325386,4325386,2490378,0,0,0.007874255,0.007874256,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
88948819,4259850,4259850,2490378,0,0,0.31792477,0.3179247,0.0,0.0,4325386,4325386,2490378,0,0,0.013454097,0.01345409,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
89148408,4259850,4259850,2490378,0,0,0.43943152,0.43943152,0.0,0.0,4325386,4325386,2490378,0,0,0.010525528,0.010525526,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
89347998,4259850,4259850,2490378,0,0,0.1851844,0.18518457,0.0,0.0,4325386,4325386,2490378,0,0,0.010652246,0.010652261,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
89547599,4259850,4259850,2490378,0,0,0.13625513,0.13625509,0.0,0.0,4325386,4325386,2490378,0,0,0.030156253,0.030156255,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
89747175,4259850,4259850,2490378,0,0,0.1338213,0.13382122,0.0,0.0,4325386,4325386,2490378,0,0,0.005670518,0.005670518,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
89946765,4259850,4259850,2490378,0,0,0.46554834,0.46554825,0.0,0.0,4325386,4325386,2490378,0,0,0.022833964,0.022833968,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
90146355,4259850,4259850,2490378,0,0,0.2322542,0.23225415,0.0,0.0,4325386,4325386,2490378,0,0,0.009592917,0.009592918,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
90345941,4259850,4259850,2490378,0,0,0.40088013,0.40088022,0.0,0.0,4325386,4325386,2490378,0,0,0.0068622977,0.0068622935,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
90550538,4259850,4259850,2490378,0,0,0.25114942,0.2511493,0.0,0.0,4325386,4325386,2490378,0,0,0.0052723,0.0052723023,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
