timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
88467642,-0.019395625,0.0024277393,-0.011441617,4987,0,0.80167234,-0.051425014,-9.855911,4903,0,0,2,1
88472630,-0.025037022,0.0014834619,-0.0063931774,4988,0,0.7941549,-0.013579748,-9.853333,4906,0,0,2,1
88477618,-0.029351257,0.0006294104,-0.00629809,4988,0,0.7791168,-0.007840424,-9.856981,4902,0,0,2,1
88482605,-0.027066344,-0.002950219,-0.011585769,4987,0,0.7866899,-0.05056054,-9.799204,4904,0,0,2,1
88487593,-0.020398665,0.0039021126,-0.0017189485,4988,0,0.79610205,-0.09435417,-9.786785,4904,0,0,2,1
88492580,-0.023651991,-0.00028471317,-0.005840896,4987,0,0.77917665,-0.04880439,-9.791608,4904,0,0,2,1
88497568,-0.023544773,0.005089248,-0.0054766545,4988,0,0.7735166,-0.042740047,-9.812276,4905,0,0,2,1
88502556,-0.025672872,0.0023257686,-0.0029145712,4988,0,0.77543086,-0.045292106,-9.776427,4904,0,0,2,1
88507543,-0.01837607,0.0032361406,-0.0031705664,4987,0,0.76030016,-0.05114815,-9.870983,4904,0,0,2,1
88512531,-0.020719688,-0.0026230086,-0.0032224054,4988,0,0.7490091,-0.08508991,-9.879146,4905,0,0,2,1
88517521,-0.027540648,0.00503037,-0.0051007573,4990,0,0.75091964,-0.049635727,-9.8501625,4904,0,0,2,1
88522506,-0.027109174,-0.00047095292,-0.0014197709,4985,0,0.775361,-0.08756973,-9.847097,4903,0,0,2,1
88527494,-0.025464218,0.008483024,-0.007543939,4988,0,0.7641228,-0.07883139,-9.807259,4905,0,0,2,1
88532481,-0.023542972,0.0072921314,-0.0035723578,4987,0,0.7133761,-0.026620768,-9.796181,7357,0,0,2,1
88537469,-0.028339082,-0.0012383726,-0.0061199316,4988,0,0.7170982,0.0123375775,-9.820664,4905,0,0,2,1
88542457,-0.024985187,0.008489832,-0.007917192,4988,0,0.77920336,-0.07577506,-9.767529,4904,0,0,2,1
88547444,-0.011188827,0.009982928,-0.008009888,4987,0,0.750985,-0.0016359315,-9.781277,4904,0,0,2,1
88552432,-0.024284644,0.0070557054,0.0006328867,4988,0,0.7828374,0.017503023,-9.896207,4904,0,0,2,1
88557420,-0.020510238,0.0002692264,-0.007005566,4988,0,0.7152026,-0.026945887,-9.84783,4905,0,0,2,1
