timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,type
221434685,0.0,0.0,2.9479156,-1.7644734,-38.193554,41.806442,50.0,2
221936873,0.0,0.0,2.9787126,-1.7336764,-40.3674,39.6326,50.0,2
222439299,0.0,0.0,3.0145411,-1.6978482,-42.45978,37.540215,50.0,2
222921966,0.0,0.0,3.0553637,-1.6570255,-44.152122,35.84788,50.0,2
223434427,0.0,0.0,3.1088338,-1.6035556,-45.452946,34.547054,50.0,2
223936623,0.0,0.0,3.1703444,-1.5420449,-46.24477,33.755226,50.0,2
224439081,0.0,0.0,3.2342157,-1.4781735,-46.50827,33.491734,50.0,2
224921738,0.0,0.0,3.297718,-1.4146713,-46.06747,33.93253,50.0,2
225434230,0.0,0.0,3.3636622,-1.348727,-44.941483,35.058514,50.0,2
225936374,0.0,0.0,3.4199715,-1.2924178,-43.27699,36.72301,50.0,2
226438819,0.0,0.0,3.4612412,-1.2511479,-41.062397,38.937607,50.0,2
226921611,0.0,0.0,3.4844217,-1.2279674,-38.638504,41.3615,50.0,2
227433787,0.0,0.0,3.4938083,-1.2185807,-35.94771,44.052307,50.0,2
227936111,0.0,0.0,3.493041,-1.219348,-33.27171,46.72829,50.0,2
228438526,0.0,0.0,3.488122,-1.224267,-30.69952,49.300476,50.0,2
228921226,0.0,0.0,3.5333414,-1.2329665,-28.364338,51.635662,50.0,2
229433673,0.0,0.0,3.8478694,-1.2446163,-25.929924,54.070072,50.0,2
229935860,0.0,0.0,4.0893116,-1.2562132,-23.480904,56.519093,50.0,2
230438322,0.0,0.0,4.165286,-1.2650774,-21.127523,58.872475,50.0,2
230940729,0.0,0.0,4.2433696,-1.2699959,-18.865276,61.134724,50.0,2
231433407,0.0,0.0,4.3536096,-1.2687345,-16.778727,63.221268,50.0,2
231936152,0.0,0.0,4.6649675,0.31343576,7.012842e-07,261.12268,50.0,0
232438087,0.0,0.0,5.190591,0.3370274,4.0260443e-07,263.39957,50.0,0
232920750,0.0,0.0,5.696034,0.36879066,8.9866717e-07,265.40884,50.0,0
233433011,0.0,0.0,6.2324753,0.41147956,-1.7800689e-06,267.19125,50.0,0
233935409,0.0,0.0,6.7432985,0.46011314,-3.409956e-07,268.17282,50.0,0
234437779,0.0,0.0,6.794143,0.5109577,-2.0445482e-06,268.1753,50.0,0
234920552,0.0,0.0,6.837287,0.5541015,1.5023734e-06,267.10608,50.0,0
235432972,0.0,0.0,6.8701563,0.5869706,-1.1701973e-06,265.139,50.0,0
235935114,0.0,0.0,6.8870935,0.6039079,3.0282536e-07,262.92935,50.0,0
236437518,0.0,0.0,6.8921432,0.6089575,1.7385646e-06,260.78897,50.0,0
236939929,0.0,0.0,6.8839116,0.6007259,1.055055e-06,258.7438,50.0,0
237432661,0.0,0.0,6.86315,0.5799648,-9.550467e-07,256.9202,50.0,0
237934930,0.0,0.0,6.8303266,0.54714125,-8.187835e-07,255.35974,50.0,0
238437294,0.0,0.0,6.787292,0.50410676,-1.7529887e-06,254.27193,50.0,0
238919975,0.0,0.0,6.7422338,0.45904845,-1.111634e-06,253.78372,50.0,0
239412522,0.0,0.0,6.69947,0.41628432,1.4965432e-06,253.70474,50.0,0
239934603,0.0,0.0,6.658323,0.37513754,-1.7811544e-08,253.98102,50.0,0
240437074,0.0,0.0,6.6246567,0.34147123,4.7910135e-08,254.539,50.0,0
240939470,0.0,0.0,6.5935745,0.31038895,-3.935968e-07,255.31598,50.0,0
241412567,0.0,0.0,6.5638566,0.28067127,4.985867e-07,256.04855,50.0,0
241934382,0.0,0.0,6.5307336,0.24754794,4.7110194e-07,256.7611,50.0,0
242436775,0.0,0.0,6.499857,0.21667157,2.5740724e-07,257.35086,50.0,0
242939180,0.0,0.0,6.469638,0.1864525,5.247763e-07,257.79434,50.0,0
243422176,0.0,0.0,6.4423065,0.15912113,1.6882132e-07,258.0985,50.0,0
243934108,0.0,0.0,6.4108796,0.1276942,-2.443012e-07,258.09122,50.0,0
244436509,0.0,0.0,6.3784738,0.09528824,-1.3858744e-07,257.84567,50.0,0
244938892,0.0,0.0,6.346538,0.063352674,-3.023386e-07,257.41815,50.0,0
245441281,0.0,0.0,6.3155503,0.032364797,1.2585792e-07,256.9002,50.0,0
245934088,0.0,0.0,6.285202,0.0020165185,-6.9994393e-09,256.37195,50.0,0
246436423,0.0,0.0,6.2532606,-0.029924974,1.30318085e-08,255.76305,50.0,0
246939329,0.0,0.0,6.2205377,-0.06264794,2.34266e-07,255.2149,50.0,0
247421321,0.0,0.0,6.189571,-0.093614556,-2.8805846e-07,254.9059,50.0,0
247933800,0.0,0.0,6.1588874,-0.12429835,5.090726e-07,254.66635,50.0,0
248436148,0.0,0.0,6.132531,-0.15065417,3.7096606e-07,254.47789,50.0,0
248938670,0.0,0.0,6.1090302,-0.17415535,7.312947e-07,254.20663,50.0,0
249421067,0.0,0.0,6.0886803,-0.19450518,-1.3794306e-08,254.02872,50.0,0
249933594,0.0,0.0,6.0688314,-0.21435414,-2.3635494e-10,254.10779,50.0,0
250435915,0.0,0.0,6.0476766,-0.23550881,1.2544642e-06,254.26233,50.0,0
250938274,0.0,0.0,6.0276966,-0.25548893,-9.006499e-08,254.5112,50.0,0
251440698,0.0,0.0,6.0090685,-0.27411678,-2.2110157e-06,254.55754,50.0,0
251933232,0.0,0.0,5.9940214,-0.28916398,6.171542e-07,254.5726,50.0,0
252435736,0.0,0.0,5.9806347,-0.3025507,-1.7714785e-06,254.83046,50.0,0
252937999,0.0,0.0,5.9679766,-0.31520894,2.7423994e-08,255.49313,50.0,0
253420497,0.0,0.0,5.955527,-0.3276585,-2.9424518e-07,256.3496,50.0,0
