timestamp,rpm_estimate,rpm_raw
166394120,-259.6211,-1614.7554
166574118,1381.0715,225.95221
166764116,1651.7485,1624.8367
166994127,1571.7549,1677.7042
167194120,1331.61,1703.4431
167394118,1149.7694,1548.4949
167574119,1509.5862,1586.1086
167794119,1601.4025,1713.9448
167994119,1415.1917,1495.2172
168194118,756.7681,241.70526
168384119,1474.7715,1650.714
168594117,1579.1482,1875.0
168794118,1147.4941,1517.73
168993735,743.4554,0.0
169194119,1272.032,1642.0898
169393961,1400.3248,2044.1068
169594125,1327.9331,1386.0984
169794118,264.83157,1750.6633
169963734,448.1784,0.0
170194119,424.65417,204.528
170394118,1399.6831,1483.8868
170593730,1278.6854,260.62643
170794119,598.1126,1668.457
170994119,594.6731,-377.36823
171194119,948.62836,-200.0823
171384119,1504.517,1703.0001
171594119,1137.6299,1760.5662
171774120,739.4974,-1008.24365
171983736,1100.1154,-779.57733
172194117,1062.6329,1705.0782
172394119,1558.4067,1722.6561
172593823,751.8649,0.0
172783754,1833.1859,2295.7075
172994118,1632.4194,1642.09
173194124,1234.3265,2313.2966
173394119,1225.3644,-48.354374
173584120,1658.6487,1762.0312
173794119,1434.6879,1726.8123
173994137,172.44171,-2164.87
174193823,760.02856,0.0
174394119,1529.0364,1769.3542
174594117,1394.2465,1665.8606
174794119,967.97375,1741.3817
174994119,1345.7428,1426.9851
175194122,-208.59392,-8.997932
175394119,1233.6481,1624.5118
175593735,-253.68413,-1390.8094
175774169,1466.4292,1712.8751
175994118,339.8654,-615.81683
176193822,1129.8442,0.0
176364118,1057.9808,1460.4493
176584118,1600.3362,1656.7384
176794119,1685.8732,1803.2228
176993972,497.94632,-1520.738
177193732,1131.5255,-226.55539
177394119,1626.6818,1684.5703
177594119,1016.9578,1660.8008
177794119,565.07574,-1734.5485
177974118,1536.6924,1423.8281
178194119,1718.188,1766.4247
178394162,1001.8392,133.07048
178594134,1220.3356,2910.6343
178784119,1596.2461,1567.3827
178994119,1485.0717,1765.1368
179194119,1415.8673,1596.492
179393735,895.37256,0.0
179594122,1460.4149,1543.3282
179794119,1465.2927,1694.8242
179994118,1451.2614,1686.0354
180194121,1263.5311,1493.9949
180394126,1642.8445,1688.0609
180554126,534.89056,-2427.7776
180794118,1190.3376,1753.4185
180994121,1148.416,314.84695
181194117,1667.8298,1771.1735
181394121,432.08047,-603.74445
181594124,1002.5327,1601.7543
181784119,193.27621,-2589.3406
181994119,1554.1139,1796.382
182173977,532.1044,0.0
182393829,620.95953,-384.77045
