timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
55281554,55280592,527633,0.11748153,-0.11586337,0.5029133,3
55841553,55840591,527633,0.082049035,-0.18696457,0.4780986,3
56381580,56330592,527633,0.08852827,-0.24197417,0.45290983,3
56821551,56820591,527633,0.042128995,-0.25321597,0.44828954,3
57341552,57310591,527633,0.028303584,-0.25091743,0.45180333,3
57821552,57800595,527633,-0.037166104,-0.261266,0.44740766,3
58361564,58360601,527633,-0.056679316,-0.25793436,0.4381528,3
58781552,58780591,527633,-0.109324045,-0.27575848,0.41717064,3
59341556,59340592,527633,-0.20366356,-0.24997653,0.39784455,3
59881551,59830593,527633,-0.2617282,-0.18556297,0.39268264,3
60321555,60320592,527633,-0.30863887,-0.13699195,0.36970708,3
60881567,60880591,527633,-0.31903958,-0.025550207,0.37592006,3
61301579,61300593,527633,-0.34098887,0.12011925,0.33033314,3
61841553,61810593,527633,-0.33537358,0.2563678,0.23000598,3
62321575,62300591,527633,-0.2348787,0.37749368,0.18749385,3
62881552,62860594,527633,-0.18831706,0.41540202,0.17966604,3
63381552,63350600,527633,-0.16494747,0.43074453,0.18326701,3
63861561,63840595,527633,-0.061015062,0.447185,0.21314996,3
64361594,64330602,527633,0.048700243,0.43855736,0.25217196,3
64821554,64820592,527633,0.17059025,0.38271585,0.29062757,3
65381554,65380592,527633,0.25883022,0.29372278,0.350365,3
65801557,65800593,527633,0.29460713,0.16901529,0.41861612,3
66361599,66360626,527633,0.21877788,0.04206296,0.4854996,3
66781551,66780591,527633,0.14933808,0.0044797645,0.50291,3
67341553,67340592,527633,0.032441504,-0.10507982,0.51653385,3
67881552,67830601,527633,-0.06993644,-0.1499613,0.48956618,3
68301552,68270591,527633,-0.20807683,-0.16397795,0.43604004,3
68796591,68795626,527633,-0.28927457,-0.18174651,0.36902565,3
69356586,69355625,527633,-0.2885523,-0.11363242,0.36827838,3
69776587,69775628,527633,-0.3408229,-0.09648064,0.3446224,3
70336590,70335625,527633,-0.34764636,-0.039489124,0.33616793,3
70876585,70825625,527633,-0.3901654,-0.006983934,0.30213186,3
71296589,71245625,527633,-0.41909283,0.053174105,0.26452857,3
71836587,71825625,527633,-0.44294083,0.09996956,0.2367098,3
72356655,72315625,527633,-0.42940775,0.14339097,0.1980752,3
72816585,72805625,527633,-0.42224884,0.20959738,0.1615367,3
73336598,73295625,527633,-0.32887816,0.337017,0.17194864,3
73816586,73795625,527633,-0.19567919,0.41288316,0.20364593,3
74376585,74300625,527633,-0.10319773,0.41069847,0.2761476,3
74836643,74815625,527633,-0.03938689,0.41857812,0.2903753,3
75336691,75305625,527633,0.023902811,0.40817007,0.31689483,3
75816585,75795625,527633,0.056147434,0.38058648,0.34714577,3
76376585,76355625,527633,0.16212517,0.36929083,0.33083495,3
76876586,76845625,527633,0.2351522,0.27789333,0.39026615,3
77376585,77375625,527633,0.23833591,0.16584916,0.4411686,3
77796586,77795625,527633,0.27159402,0.070394896,0.46437317,3
