timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,rc_frame_rate,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality,link_snr
25413124,25412545,39,nan,0,4099,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
25904398,25903840,39,nan,0,4181,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
26398206,26397578,39,nan,0,4264,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
26911857,26911268,39,nan,0,4350,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
27400584,27400026,39,nan,0,4432,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
27906846,27906286,39,nan,0,4516,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
28415678,28415119,38,nan,0,4602,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
28904325,28903766,39,nan,0,4683,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
29413204,29412645,38,nan,0,4768,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
29901842,29901259,37,nan,0,4850,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
30410679,30410118,38,nan,0,4935,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
30901828,30901269,37,nan,0,5017,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
31417986,31417427,38,nan,0,5104,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
31909345,31908706,38,nan,0,5186,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
32418012,32417443,37,nan,0,5271,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
32904294,32903734,38,nan,0,5352,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
33413056,33412471,38,nan,0,5438,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
33901777,33901216,37,nan,0,5519,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
34410479,34409921,37,nan,0,5605,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
34919190,34918631,37,nan,0,5689,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
35405472,35404913,37,nan,0,5771,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
35916736,35916177,37,nan,0,5856,0,0,1577,1495,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
